指標名,ナイトライフ施設,,,,,,,,,,,
出典,TOKYO CLUB MAP,,,,,,,,,,,
年次,2020/2/20取得,,,,,,,,,,,
URL,https://www.tokyo-club.net/,,,,,,,,,,,
備考,,,,,,,,,,,,
,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,エリア,業種,ジャンル,電話番号,営業時間,定休日
港区,六本木７丁目,六本木,東京都港区六本木7-14-10 山室ビル2F,35.663319,139.731858,GERONIMO SHOT BAR,六本木,Bar ･ Nightclub ･ Party,80s ･ TOP40 ･ Dance ･ Disco ･ HipHop ･ Allmix,03-3478-7449,18:00-05:00,無休
港区,六本木７丁目,六本木,東京都港区六本木7-13-7 1F-B1F,35.664057,139.730616,V2 TOKYO,六本木,CLUB,Allmix ･ House ･ HipHop ･ Live ･ Electro ･ EDM ･ R&B,03-5474-0091,21:00-05:00,無休
港区,六本木７丁目,六本木,東京都港区六本木7-14-23 セントラル六本木1F,35.663589,139.731435,R2 SUPPERCLUB,六本木,ラウンジバー,Soul ･ Jazz ･ Electronic ･ Live ･ Funk ･ Lounge,03-6447-0002,"17:00-05:00 / 日 17:00-03:00
(ハッピーアワー 17:00-20:00)",無休
港区,六本木７丁目,六本木,東京都港区六本木7-8-6 AXALL ROPPONGI B1F,35.664903,139.7297925,SEL OCTAGON TOKYO,六本木,クラブ,EDM ･ Electro ･ Techno ･ House ･ TRAP ･ etc.,03-3405-0088,"木･金･土･祝前 22:00-05:00
月･火･水 ※バー営業",不定 (祝前日でない日曜日は休みとなる場合が多い)
港区,六本木７丁目,六本木,東京都港区六本木7-6-3 喜楽ビル201,35.664633,139.7285595,Funky D,六本木,バー,80s ･ 70s ･ Funk ･ Soul ･ R&B ･ House ･ HipHop,03-3403-5636,平日 20:00-24:00 / 週末 20:00-02:00,日-水 ･ 祝日 (祝前は営業の可能性あり)
港区,六本木７丁目,六本木,東京都港区六本木7-14-5 六本木大和ビル3F,35.663715,139.7314305,TOKYO R Bar&Cafe,六本木,バー,Lounge music ･ Disco ･ House ･ Techno ･ Electronic ･ Jazz ･ Others,03-6434-7325,17:00-03:00 / 週末: 17:00-05:00,日
港区,六本木７丁目,六本木,東京都港区六本木7-5-11 カサグランデミワ2F,35.664876,139.727826,R&B cafe Boo,六本木,カフェ ･ バー,BlackMusic,03-5770-6655,"ランチ 11:00-17:00
ディナー 18:00-23:00
ラウンジ 23:00-05:00 (日･祝 ～23:00)",火
港区,六本木７丁目,六本木,東京都港区六本木7-13-7 2F,35.664057,139.730616,VILLA TOKYO,六本木,CLUB,Allmix ･ EDM ･ House ･ etc.,03-5413-8077,21:00-05:00 変動の可能性あり,
港区,六本木６丁目,六本木,東京都港区六本木6-10-1 六本木ヒルズウェストウォーク1F,35.66043,139.7292615,TUSK,六本木,バー,Allmix,03-3478-9991,"月-土 11:30-05:00
日･祝 11:30-24:00",無休
港区,六本木６丁目,六本木,東京都港区六本木6-1-3 六門ビル6F,35.662707,139.7323395,MAHARAJA,六本木,クラブ ･ ディスコ,Allmix ･ House ･ Disco ･ Dance ･ R&B ･ POPs,03-6804-1798,"月･火 19:00-24:00
水･木 19:00-02:00
金･土･祝前 19:00-05:00
日･祝 イベントにより変動
目安となります。事前にご確認下さい。",無休
港区,六本木６丁目,六本木,東京都港区六本木6-8-22 イケガミビル1F,35.659827,139.732281,THE PUBLIC SIX,六本木,バー,House ･ Allmix,03-5413-3182,17:00-05:00 / 日･祝 ～03:00,無し
港区,六本木５丁目,六本木,東京都港区六本木5-1-6 六本木B&Vビル2F・3F,35.662635,139.7331315,ESPRIT TOKYO,六本木,DJラウンジ ･ CLUB,EDM ･ Allmix ･ R&B ･ HipHop,03-3470-1371,"22:00-05:00
※イベント等により営業時間が変更となる可能性があります。必ず事前にご確認下さい。",無休
港区,六本木５丁目,六本木,東京都港区六本木5-3-1 レーヌ第2ビル3F,35.662077,139.7332755,Bar Quest,六本木,DJバー,Disco ･ Allmix,03-5414-2225,19:00-07:00 / 金･土19:00-10:00頃まで,無休
港区,六本木５丁目,六本木,東京都港区六本木5-1-7 六本木ストリートビル 1F-2F,35.662509,139.733217,MEZZO TOKYO,六本木,ラウンジ ･ バー,House ･ EDM ･ Allmix ･ etc.,03-6438-9711,平日 19:00-01:00 / 金･土･祝前 19:00-03:00,日 ･ 祝
港区,六本木５丁目,六本木,東京都港区六本木5-10-25 R棟,35.659314,139.732578,1OAK Tokyo,六本木,CLUB,HipHop･ R&B･ Electro･ Moombahton･ etc.,03-6447-2002,"23:00-05:00
事情により変更となる場合あり、事前に要確認",日 ･ 月
港区,六本木５丁目,六本木,東京都港区六本木5-9-22 第二千陽ビルB1F,35.661924,139.732983,Electrik神社,六本木,バー,Jazz ･ Funk ･ Live ･ HipHop ･ Others,03-3478-3363,19:00-05:00,日
港区,六本木５丁目,六本木,東京都港区六本木5-16-5 インペリアル六本木ビルB2F,35.661726,139.7353545,THE FIRST HOUSE,六本木,クラブバー,R&B ･ Allmix,03-6277-7229,"19:00-05:00 (ハッピーアワー 22:00まで)
※更新の可能性あり、要確認",日
港区,六本木５丁目,六本木,東京都港区六本木5-16-52 インペリアル六本木2号館 S202,35.661591,139.7353275,F.Y.B TOKYO,六本木,バー,Allmix ･ EDM ･ HipHop ･ etc.,03-6441-2978,21:00又は22:00より ※変動の可能性あり,日
港区,六本木５丁目,六本木,東京都港区六本木5-18-21 FIVEPLAZA B2F,35.660943,139.73697,Club EDGE,六本木,ライブハウス,Live ･ POPs ･ Rock ･ Funk ･ All Genre ･ Others,03-3505-4561,※スケジュールにより異なる,
港区,六本木５丁目,六本木,東京都港区六本木5-18-2 大昌第二ビルB1F,35.661213,139.737258,VARIT.,六本木,ライブハウス ･ クラブ,All Genre,03-6441-0825,スケジュールをご確認下さい,
港区,六本木４丁目,六本木,東京都港区六本木4-5-2 UビルB1F,35.665074,139.7326365,atomage,六本木,バー,Rock ･ R&B ･ TechHouse ･ House ･ Electro ･ Ska ･ Funk ･ Disco,03-3479-0055,19:00-02:00 / 週末 19:00-03:00,日
港区,六本木４丁目,六本木,東京都港区六本木4-11-11 六本木GMビル B1F,35.664237,139.731525,morph-tokyo,六本木,ライブハウス ･ クラブ,Live ･ POPs ･ Others ･ Allmix,03-5414-2683,イベント･ライブにより異なる,
港区,六本木３丁目,六本木,東京都港区六本木3-10-5 マリーナビル1F,35.663184,139.733406,NEW PLANET TOKYO,六本木,CLUB ･ ラウンジ,Allmix ･ HipHop ･ Dance ･ R&B ･ POPs,03-3470-4360,18:00-08:00,無休
港区,六本木３丁目,六本木,東京都港区六本木3-10-5 マリナービル1F/2F,35.663184,139.733406,JUMANJI 55,六本木,バー ･ ラウンジ,House ･ Allmix ･ R&B,03-5410-5455,"19:00～
※最新の情報とは異なる場合があります。必ず事前にご確認下さい。",無休
港区,六本木３丁目,六本木,東京都港区六本木 3-15-24 アリエスビル2F,35.662671,139.7353905,Two Dogs Taproom,六本木,レストラン ･ バー,Others,03-5413-0333,17:00-05:00,無休
港区,六本木３丁目,六本木,東京都港区六本木3-14-12 六本木三丁目ビルB1F,35.662482,139.734342,BLACK HORSE,六本木,クラブ ･ ラウンジバー,Allmix,03-5772-5444,18:00-05:00 ※変わる可能性あり、要確認,無休
港区,六本木３丁目,六本木,東京都港区六本木3-13-12 エルサビル2F,35.662905,139.73382,New Lex Tokyo (Lex Tokyo),六本木,クラブ,Allmix ･ Others,03-6434-7729,22:00～ミッドナイト,無休
港区,六本木３丁目,六本木,東京都港区六本木3-13-10 六本木幸田ビル5F,35.66277,139.733595,Padi’s Tokyo,六本木,バー,Reggae ･ Afrobeat ･ Afro Pop,03-6698-9001,18:00-23:00 / 週末 22:00-05:00,無し ･ 不定
港区,六本木３丁目,六本木,東京都港区六本木3-15-24 ウィン六本木1F,35.662671,139.7353905,EL CAFE LATINO,六本木,バー,Latin ･ Salsa ･ Dance,03-3402-8989,"火-木･日 18:00-24:00
金･土･祝前日 18:00-05:00",無し
港区,六本木３丁目,六本木,東京都港区六本木3-12-5 ステラ六本木B1F,35.663049,139.733577,88 STREET BAR,六本木,DJバー,Allmix ･ HipHop ･ Soul ･ Classics ･ Dance,03-3478-0166,"22:00-06:00 / 週末 20:00-07:00
※改定の可能性あり、要確認",無し
港区,六本木３丁目,六本木,東京都港区六本木3-11-6 21泰明ビル4F,35.663085,139.733046,Motown House,六本木,バー,BlackMusic ･ 80s ･ Allmix ･ etc.,03-5474-4605,18:00-05:00,無し
港区,六本木３丁目,六本木,東京都港区六本木3-8-15 六本木日拓ビル1F-3F,35.663319,139.7341935,DiA tokyo,六本木,CLUB,Allmix ･ R&B ･ EDM ･ House ･ etc.,-,"22:00-05:00
変更となる場合もございます。事前にお確かめ下さい。",不定休
港区,六本木３丁目,六本木,東京都港区六本木3-11-10 ココ六本木ビル4F,35.663292,139.732965,RAKAN TOKYO,六本木,バー,HipHop ･ Latin ･ R&B ･ etc.,03-6812-9492,20:00-07:00 ※貸切等により変動あり。要確認,日 ※祝前日の場合、変わる可能性あり
港区,六本木３丁目,六本木,東京都港区六本木3-13-6 WINDビルB1,35.662896,139.7340315,THE NEW MATRIX BAR,六本木,DJバー,HipHop ･ R&B ･ Reggae ･ Allmix,03-3405-1066,20:00-05:00 ※更新となる場合あり、要確認,日
港区,六本木３丁目,六本木,東京都港区六本木3-15-23 六本木花椿ビル3F,35.662374,139.7352285,ODEON TOKYO,六本木,Club ･ バー,House ･ EDM ･ Allmix ･ Trance,03-3478-4555,"21:00-09:00 / 週末 ～12:00
※変更の可能性あり、要確認",日
港区,六本木３丁目,六本木,東京都港区六本木3-15-23 花椿ビル1F,35.662374,139.7352285,jokers Bar,六本木,ダイニングバー,Allmix ･ Disco ･ R&B,03-6434-0574,"月-木19:00-05:00 / 金･土19:00-06:00
※変更となっている可能性あり、要確認",日
港区,六本木３丁目,六本木,東京都港区六本木3-13-12 エルサビル2F,35.662905,139.73382,MAGNET,六本木,レストランバー,HipHop ･ House ･ EDM ･ R&B ･ Techno,03-6434-7729,23:00-05:00 (レストラン ～22:00),日
港区,六本木３丁目,六本木,東京都港区六本木3-11-6 泰明ビル3F,35.663085,139.733046,Sheyda BAR,六本木,ラウンジバー,House ･ TOP40 ･ Billboard ･ Latin ･ R&B,03-6447-0148,21:00-06:00 / 土 21:00-09:00,日
港区,六本木３丁目,六本木,東京都港区六本木3-15-22 陽光セントラル六本木ビル6F,35.662212,139.7351655,JP Bar,六本木,バー,Latin ･ etc.,03-6886-6286,"19:00～
(23:00までハッピーアワー)
変わる可能性あり確認要",日
港区,六本木３丁目,六本木,東京都港区六本木3-8-15 六本木日拓ビル3F,35.663319,139.7341935,ZEN TOKYO,六本木,CLUB,HipHop ･ etc.,03-6447-4416,木～土･祝前日 22:00-05:00,上記のクラブ営業以外の日は、イベントスペースとして貸切可能
港区,六本木３丁目,六本木,東京都港区六本木3-11-6 21泰明ビル5F,35.663085,139.733046,IBEX TOKYO,六本木,Club ･ ラウンジバー,HipHop ･ R&B ･ Reggae ･ 90s ･ Old school,03-3746-1075,22:00-05:00 / 週末 22:00-08:00 ※変動する場合あり,時間外はレンタルスペースとして利用可
港区,六本木３丁目,六本木,東京都港区六本木3-14-7 アロービルB1F,35.662554,139.734945,7Sense,六本木,ラウンジ,Allmix,03-6804-5196,"火-木 24:00-07:00
金･土 21:00-08:00
※営業時間が変更となる可能性があります。必ず事前にご確認下さい。",月 ･ 日
港区,六本木３丁目,六本木,東京都港区六本木3-15-23 B1F,35.662374,139.7352285,MILWAUKEE BAR,六本木,アミューズメントバー,Allmix ･ Trance ･ 70s ･ 80s ･ 90s,03-3401-7155,18:00-02:00 / 週末･祝前 18:00-06:00,月
港区,六本木３丁目,六本木,東京都港区六本木3-14-8 下条ビルB1F,35.662437,139.734864,SONIDO’S BAR,六本木,バー,HipHop ･ TOP40 ･ Latin ･ EDM ･ R&B ･ Reggae,03-6447-1995,19:00-07:00,火
港区,六本木３丁目,六本木,東京都港区六本木3-13-8 ゾーナンビル2F,35.662599,139.734009,mint,六本木,カフェバー,Others,03-6823-1219,12:00-04:00 (ランチ: 17:00まで),火
港区,六本木３丁目,六本木,東京都港区六本木3-14-7 アロービルB1F,35.662554,139.734945,Seven Tokyo,六本木,クラブ,Allmix,03-6804-5196,(22:00～ ※変動する為要確認),(日 ･ 月 ※要事前確認、祝前の場合変更の可能性あり)
港区,六本木３丁目,六本木,東京都港区六本木3-15-24 アリエスビル 1F/B1F,35.662671,139.7353905,LINE CLUB,六本木,バー ･ ラウンジ,HipHop ･ R&B ･ Reggae ･ Allmix,-,"木･金･土 22:00-09:00
※最新の情報とは異なる場合があります。必ず事前にご確認下さい。",
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町1-2-14 紫ビルB1F,35.672436,139.7599425,300BAR NEXT,銀座,バー,Techno ･ House ･ Soul ･ Old school ･ HipHop ･ Dance ･ Disco ･ Funk,03-3593-8300,"17:00～
月-木 -02:00 / 金･土･祝前 -04:00 / 日･祝 -23:00",無休
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町1-1-2 東京ミッドタウン日比谷3F,35.673552,139.7590335,Billboard cafe & dining,銀座,レストラン,All Genre ･ Disco ･ Acoustic ･ TOP40 ･ Others,03-6273-3355,"11:00-23:00
ランチ 11:00～
カフェ 15:00～
ディナー 17:00～",不定休
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町1-5-2東宝ツインタワービルB2･B3,35.674191,139.760091,CLUB DIANA,銀座,クラブ ･ ディスコ,R&B ･ Disco ･ 90s ･ Allmix ･ HipHop ･ House,-,"日-木･土･祝日18:00-24:00 / 金・祝前日18:00-25:00
※イベントにより異なる場合がございますので事前にご確認下さい。",月 ※貸切りは営業
港区,麻布台３丁目,-,東京都港区麻布台3-4-11 中央飯倉ビルB1F,35.660529,139.7390445,CUBE,六本木,CLUB ･ DISCO,Allmix ･ House ･ Disco ･ Dance ･ R&B ･ HIPHOP ･ Live ･ Electro ･ POPs,03-3589-0933,※イベントにより異なる,無休
港区,麻布十番２丁目,-,東京都港区麻布十番2-5-1 マニヴィア麻布十番8F,35.656362,139.7335995,The Beach Lounge,麻布,ソウルバー ･ ラウンジ,Soul ･ Jazz ･ R&B ･ Disco,03-5772-5745,"平日 ･ 土 20:00-04:00
DJプレイ 21:00～
※変更となる可能性もございます。事前にお確かめ下さい。",日 ･ 祝
港区,麻布十番２丁目,-,東京都港区麻布十番2-8-7 M2K Holdingビル2F,35.655543,139.734747,Cafe del A.R.M,麻布,バー,Techno ･ House ･ Minimal ･ Crossover ･ HipHop ･ etc.,03-6809-3581,"20:00～
月-木 ～02:00
金・土 ～04:00
最新の情報と異なる場合有、要事前確認",日 (事情により日曜営業した場合は、翌日が休み)
港区,麻布十番１丁目,-,東京都港区麻布十番1-4-5 深尾ビル1F / B1F,35.656929,139.735287,ELE TOKYO,麻布,CLUB,Dance Music ･ Electro ･ Allmix ･ EDM ･ Other,03-5572-7535,22:00～,日～水 (祝前日を除く)
港区,北青山１丁目,-,東京都港区北青山1-4-5 VORT青山1丁目Duals B1F,35.672292,139.7217285,青山RizM,青山,ライブハウス,POPs ･ Live ･ Folk ･ Rock ･ Others,03-6804-5925,※公演ごとに異なる,250人
新宿区,百人町２丁目,-,東京都新宿区百人町2-1-1 K-PLAZA1 B2F,35.701515,139.7021985,unique LABORATORY,新宿,CLUB ･ イベントスペース,A-POP ･ K-POP,03-6205-6158,,
新宿区,百人町１丁目,-,東京都新宿区百人町1-17-7 大久保ビルA館B1F,35.701542,139.697604,HOTSHOT,その他,ライブハウス,Blues ･ Folk ･ POPs ･ Jazz ･ HeavyMetal ･ Rock ･ Others,03-5338-8280,"※公演開始はそれぞれ異なる
貸切受付時間
昼 10:00-15:00
夜 17:00-22:00",無し ※不定休
新宿区,百人町１丁目,-,東京都新宿区百人町1-23-3 亀井ビル2F,35.698734,139.697172,Rock Inn DICE,その他,バー,Rock ･ Punk ･ Metal ･ Acoustic ･ Live,03-5937-2043,19:00-05:00,不定休
新宿区,百人町１丁目,-,東京都新宿区百人町1-10-7 一番街ビルB1F,35.700318,139.699935,CLUB Voice,新宿,ライブハウス,Acoustic ･ A-POP ･ Soul ･ Rock ･ Folk ･ etc.,03-5338-0938,15:00-22:00まで ※ライブにより変わる,不定
渋谷区,鉢山町,-,東京都渋谷区鉢山町13-12 OXY有馬B1F,35.651115,139.6967445,LIVE HOUSE LOOP 代官山,恵比寿,ライブハウス,Live ･ Folk ･ Acoustic ･ Funk ･ Jazz ･ Rock ･ POPs ･ Others,03-6277-5032,※スケジュールにより変わる,※ライブスケジュールにより異なる
中央区,八丁堀３丁目,-,東京都中央区八丁堀3-22-9 B1F,35.674749,139.7772675,SOUND&BAR HOWL,その他,バー ･ イベント会場,Allmix ･ 80s ･ 90s ･ Trance ･ Techno ･ Disco,03-5541-3329,18:00-24:00 ※イベントによっては変動,無休
渋谷区,幡ケ谷２丁目,-,東京都渋谷区幡ヶ谷2-8-15 幡ヶ谷K3ビルB1F,35.678007,139.6770885,FORESTLIMIT,その他,イベントスペース ･ カフェ,Live ･ Others ･ Electronic ･ Jazz ･ All Genre,03-6276-2886,イベントスケジュールにより変動,不定休
渋谷区,幡ケ谷１丁目,-,東京都渋谷区幡ヶ谷1-1-5 第一岩田ビルB1F,35.677584,139.678902,SCUBA,その他,ダイニングバー,Allmix ･ Disco ･ R&B ･ 70s ･ 80s,03-3376-2684,月-土 21:00-04:00,日 (祝日の場合営業)
中央区,日本橋本石町４丁目,日八京,東京都中央区日本橋本石町4-4-15 朝日ビル本館 B1F,35.688753,139.7712735,Extrawelt,その他,カフェ ･ バー,HipHop ･ R&B ･ All Genre ･ House ･ Techno,03-3527-9494,カフェ11:00～ / バー18:00～,無休
中央区,日本橋大伝馬町,-,東京都中央区日本橋大伝馬町15-2 B1F,35.69157,139.781358,CITAN,その他,ラウンジ ･ バー,Funk ･ Soul ･ Disco ･ Jazz ･ Ska ･ Live ･ House･ etc.,03-6661-7559,"イベント営業 / 金･土
バー 18:00～ / DJタイム 20:00～ (※日により変動)
要事前確認",
中央区,日本橋室町２丁目,日八京,東京都中央区日本橋室町2-4-3 YUITO/日本橋室町野村ビル4F,35.687403,139.7739195,XEX Nihonbashi,その他,バー ･ ラウンジ,Lounge ･ House ･ Jazz ･ Disco ･ Live,03-3548-0065,"ランチ 11:00-15:00
カフェ 15:00-17:00
ディナー
17:30-26:00 (月～木･祝前)
17:30-29:00 (17:30-29:00)
17:30-23:30 (17:30-23:30)
※最新の情報とは異なる可能性がございます。事前にご確認下さい",無休
港区,南青山６丁目,-,東京都港区南青山6-3-16 ライカビル,35.661168,139.716216,BLUE NOTE TOKYO,青山,ジャズクラブ,Others ･ POPs ･ Jazz,03-5485-0088,月-金 17:00-24:00 / 土･日･祝 15:30-23:00,300人
港区,南青山６丁目,-,東京都港区南青山6-10-12 フェイス南青山1F,35.659296,139.715217,Future SEVEN,青山,イベントスペース,Others,03-6861-7777,,250人
港区,南青山６丁目,-,東京都港区南青山6-2-9 NYKビルB1F / B2F,35.660844,139.715577,ever,青山,CLUB,House ･ Techno ･ HipHop ･ Allmix ･ R&B ･ EDM ･ Electro,03-5774-1380,"23:00-ミッドナイト
※イベントにより異なる場合があります。必ず事前にご確認下さい。",180人
港区,南青山６丁目,-,東京都港区南青山6-7-14 チガー南青山B1,35.65944,139.7172015,REDSHOES,青山,バー,Rock ･ Live,03-3486-1169,"火-土 19:00-04:00 / 日 19:00-24:00
※変更となる可能性あり。事前にご確認下さい",100名以下 (立)
港区,南青山５丁目,-,東京都港区南青山5-6-23 スパイラルB1F,35.663598,139.711752,CAY,青山,ライブレストラン,All Genre ･ Live,03-3498-7840,11:30～24:00,Restaurant営業100名 / LIVE営業300名
港区,南青山５丁目,-,東京都港区南青山5-8-10 コモド南青山ビル8F,35.662518,139.712049,Le Donjon M,青山,バー,Techno ･ Trance ･ House ･ HipHop ･ Jazz ･ R&B,03-3407-7170,18:00-03:00,30人
港区,南青山５丁目,-,東京都港区南青山5-10-1 H2 AOYAMA BLDG B1F･B2F,35.662752,139.7109915,fai aoyama,青山,CLUB,House ･ Techno ･ Jazz ･ Electronic,03-5466-3181,22:00～ ※イベントにより異なる,300人
港区,南青山５丁目,-,東京都港区南青山5-11-9 レキシントン青山ビルB1F,35.661708,139.712346,IDOL,青山,カフェ ･ イベントスペース,House ･ Electronic ･ Others ･ Disco,03-6427-4779,"火-土 11:30-23:00
日 11:30-18:00
※イベント等により変動あり",148坪
港区,南青山４丁目,-,東京都港区南青山4-9-1 シンプル青山ビルB1F,35.667342,139.7181465,月見ル君想フ,青山,ライブハウス,Live ･ POPs ･ R&B ･ Jazz ･ Funk ･ etc.,03-5474-8115,14:00-22:00,150人
港区,南青山３丁目,-,東京都港区南青山3-18-19 フェスタ表参道ビルB1F,35.665128,139.712877,VENT,青山,CLUB,House ･ Techno ･ etc.,03-6804-6652,"23:00～
※イベントによって変動の可能性あり
金曜や土曜日、祝前日等の営業がメイン",300人
港区,南青山３丁目,-,東京都港区南青山3-18-19 フェスタ表参道ビル1F,35.665128,139.712877,cafe ATLANTIS,青山,エンターテインメントラウンジ,Allmix ･ House ･ R&B ･ HipHop ･ Others,03-6434-0069,19:00-03:00,200人
港区,南青山１丁目,-,東京都港区南青山1-15-18 リーラ乃木坂B1F,35.668125,139.726809,Club CACTUS,青山,CLUB,Reggae,03-3408-9577,月-金 18:00-MIDNIGHT / 土 22:00-05:00,120人前後
千代田区,内幸町１丁目,-,東京都千代田区内幸町1-6-5 銀座裏コリドー内,35.66934,139.7588625,club GHQ,銀座,CLUB,Allmix,03-6550-9655,18:00-24:00,日
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2-23-13 SHIBUYA DELITOWER B1,35.660124,139.6961145,EN SOF TOKYO,渋谷,ダイニングバー,Techno ･ House ･ Electro ･ Drum&Bass ･ BassMusic ･ Others,03-5728-5349,19:00～,無休
