指標名,ナイトライフ施設,,,,,,,,,,,
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2-19-11 中村ビル1F-2F,35.659422,139.696119,Mikkeller Tokyo,渋谷,ビアバー,Others,03-6427-0793,"平日 15:00-24:30
金 15:00-25:30
土 12:00-25:30
日 12:00-24:30",無休
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2-13-5 B1F,35.65836,139.695696,beat cafe,渋谷,ミュージックバー,80s ･ Rock ･ POPs ･ All Genre ･ etc.,-,20:00-05:00,不定休
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2-25-17 カスミビル4F,35.659566,139.697658,RUBY ROOM,渋谷,CLUB ･ バー,House ･ Techno ･ Live ･ Rock ･ etc.,03-3780-3022,20:00～ ※イベントにより異なる,不定休
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2-22-6,35.659656,139.695552,しぶや花魁,渋谷,DJバー ･ レストラン,Allmix,03-5456-8782,18:00-05:00 / 18:00-24:00,不定休
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2-21-7 第八矢澤ビル5F/6F,35.658981,139.6955295,LOUNGE NEO,渋谷,CLUB,HipHop ･ House ･ Techno ･ Allmix ･ Reggae ･ R&B ･ Rock ･ Electro ･ Drum&Bass,03-5458-2551,※イベントにより異なる,不定休
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2-21-7 第八矢澤ビル1F/B1F,35.658981,139.6955295,VUENOS,渋谷,ライブハウス,Live ･ Rock ･ Allmix ･ Others,03-5458-2551,※ライブスケジュールにより異なる,不定休
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2-29-5 渋谷プライム5F,35.659413,139.698324,eplus LIVING ROOM CAFE&DINING,渋谷,ライブカフェバー,Live ･ Acoustic ･ Jazz ･ POPs ･ Folk ･ Blues ･ Others,03-6452-5424,"11:30-23:30 (L.O 23:00)
日･祝 11:30-22:00 (L.O 21:00)",不定休
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2-14-8 (O-EASTと同じ建物)5F,35.658729,139.695597,TSUTAYA O-Crest,渋谷,ライブハウス,All Genre,03-3770-1095,18:00前後から ※スケジュールにより変動,不定
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2-13-5 ハーベストビルB1F,35.65836,139.695696,SHIBUYA DESEO,渋谷,ライブハウス,Live ･ Others ･ All Genre,03-5457-0303,イベント･スケジュールにより異なる,不定
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2-21-7 第8矢澤ビル2F/3F,35.658981,139.6955295,Glad,渋谷,Club,Live ･ Rock ･ HipHop ･ R&B,03-5458-2551,※イベントにより異なる,不定
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2-14-8 O-EASTビル1F,35.658729,139.695597,duo MUSIC EXCHANGE,渋谷,ライブハウス,Jazz ･ Rock ･ POPs ･ Live ･ etc.,03-5459-8716,スケジュールにより異なる,不定
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2-23-12 フォンティスビル2F,35.659998,139.695984,Studio Freedom,渋谷,イベントスペース,Dance ･ Live ･ Electro ･ Techno ･ House ･ HipHop ･ Others,03-5784-5496,"スケジュールにより変動
(レンタル: 日中 12:00-22:00 / 夜 23:00-05:00)",不定
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2-20-9 道玄坂柳光ビル3F,35.659548,139.695912,RECORD BAR analog,渋谷,バー,Popular Song ･ J-POP ･ HipHop ･ R&B ･ 80s ･ 90s,03-6416-1228,20:00-03:00,年末年始
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2-19-3 ライオンズマンション道玄坂1F,35.659071,139.696362,Good Wood Terrace,渋谷,カリブ料理屋,Reggae ･ HipHop ･ R&B ･ etc.,03-5728-7418,17:00-03:00 / ランチ 12:00-15:00,年始
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2-14-8 TSUTAYA O-EAST内2F,35.658729,139.695597,東間屋 (AZUMAYA),渋谷,バー,Techno ･ House ･ Disco ･ Soul ･ Electro,03-6416-4184,21:00-04:30,日 (祝前日の場合を除く)
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2-10-7 新大宗ビルB1F,35.658126,139.6971945,SOUND MUSEUM VISION,渋谷,CLUB,House ･ HipHop ･ Allmix ･ Techno ･ EDM ･ Live ･ Reggae ･ Electro ･ etc.,03-5728-2824,22:00-05:00 ※イベントにより変動,クラブ営業は金曜・土曜・祝前日を軸に開催
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2-10-12 新大宗ビル4号館B2F,35.658351,139.6977975,Contact,渋谷,CLUB,House ･ Techno ･ Electronic ･ DUB ･ etc.,03-6427-8107,22:00～ ※イベントにより異なる,(木曜が休みとなる場合がある ※要確認)
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2-17-2 トップ美奄B1F,35.658747,139.6966365,THE WU DJ's bar,渋谷,バー,Allmix ･ House ･ HipHop ･ POPs ･ Bass ･ R&B ･ Trap ･ A-POP ･ etc.,050-1037-1978,23:00-05:00,(火 ･ 水 ※祝前日を除く)
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2-29-12 吉田ビルB1F,35.659566,139.6978605,Yellow Blank Market (YBM),渋谷,DJバー,BassMusic ･ Electro ･ Techno ･ House ･ etc.,-,"金･土 21:00-09:00 / 日 18:00-24:00
※変更の可能性あり、要確認",
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2-14-8 2F-4F,35.658729,139.695597,TSUTAYA O-EAST,渋谷,ライブハウス,Live ･ All Genre ･ Others,03-5458-4681,イベント･スケジュールにより異なる,
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2-23-12 フォンティスビルB1F,35.659998,139.695984,DAIA,渋谷,パーティースペース,Others,03-5489-3750,,
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2-23-12 フォンティスビル3F,35.659998,139.695984,Icon,渋谷,ラウンジ ･ イベントスペース,Techno ･ House ･ Electronic ･ Lounge,03-6277-5987,ランチ(月〜金) 11:30-15:30 / 貸切パーティー 24時間対応可能 / ※イベント時は異なる,
渋谷区,道玄坂１丁目,-,東京都渋谷区道玄坂1-17-12 野々ビル2F,35.657199,139.696965,Edge End,渋谷,DJBAR,Lounge ･ Live ･ Rock,03-5458-6385,20:00～ ※スケジュールにより変動,不定休
渋谷区,道玄坂１丁目,-,東京都渋谷区道玄坂1-6-7 SUSAビル5F,35.657685,139.6991025,Bar Music,渋谷,カフェ ･ バー,Jazz ･ BlackMusic ･ Soul ･ Folk ･ Acoustic ･ Live ･ etc.,03-6416-3307,"19:00～
日 / 16:00-24:00",不定休
渋谷区,道玄坂１丁目,-,東京都渋谷区道玄坂1-2-3 渋谷フクラス(東急プラザ渋谷)17F-18F,35.657631,139.700232,CE LA VI TOKYO,渋谷,レストラン ･ クラブ,House ･ Electro ･ etc.,0800-111-3065,18:00-05:00 / 日 18:00-23:00 (セラヴィクラブラウンジ),"不定
※1月1日は休業の可能性あり"
渋谷区,道玄坂１丁目,-,東京都渋谷区道玄坂1-6-3 山路ビルB1F,35.657838,139.6992555,ZUBAR,渋谷,DJバー,HipHop ･ House ･ Techno ･ Allmix ･ Jazz ･ Disco ･ Lounge ･ Latin ･ etc.,03-6712-5050,"18:00-24:00 ※深夜営業許可申請中の為、当面の間
(ランチ: 12:00-15:00)",日 ･ 祝
渋谷区,道玄坂１丁目,-,東京都渋谷区道玄坂1-22-12 長島第一ビルB1F,35.656587,139.6957545,翠月,渋谷,CLUB,House ･ Techno ･ Disco ･ Soul ･ Ambient ･ etc.,03-6455-0140,21:00-05:00 ※変動の可能性あり,日
渋谷区,道玄坂１丁目,-,東京都渋谷区道玄坂1-17-9 SKプラザビルB1F,35.65701,139.6970505,LAUREL TOKYO,渋谷,CLUB,House ･ Techno ･ Electro ･ EDM ･ etc.,03-6277-5503,"21:00-05:00
※イベントにより変動の可能性あり",火
渋谷区,道玄坂１丁目,-,東京都渋谷区道玄坂1-16-8 常磐ビル2F,35.656551,139.697541,Music Bar Boogie Back,渋谷,バー,HipHop ･ Jazz ･ Reggae ･ Soul ･ Funk ･ etc.,03-6427-0464,(20:00 又は 19:00から),(日 ※要確認)
渋谷区,道玄坂１丁目,-,東京都渋谷区道玄坂1-6-5 東静ビルB1F,35.657748,139.699197,OATH,渋谷,バー,House ･ Techno,03-3461-1225,20:00-05:00,
渋谷区,道玄坂１丁目,-,東京都渋谷区道玄坂1-13-2 宝ビルB1F,35.657568,139.698594,NOSTYLE,渋谷,CLUB,Allmix ･ Techno ･ HipHop ･ House ･ Electronic ･ Jazz,03-3462-4375,※イベントにより異なる,
渋谷区,道玄坂１丁目,-,東京都渋谷区道玄坂1-15-3 プリメーラ道玄坂B1F,35.657307,139.6976895,La.mama,渋谷,ライブハウス,Live ･ POPs ･ Folk ･ Rock ･ R&B,03-3464-0801,,
渋谷区,道玄坂１丁目,-,東京都渋谷区道玄坂1-17-6 プロスペクトB1F,35.656866,139.697073,GUILTY,渋谷,ライブハウス,Live ･ POPs ･ R&B ･ Rock ･ All Genre,03-3770-1130,,
渋谷区,道玄坂１丁目,-,東京都渋谷区道玄坂1-18-3 プレミア道玄坂ビルB1F,35.657424,139.696911,SHIBUYA REX,渋谷,ライブハウス,V-ROCK ･ HeavyMetal ･ POPs,03-5728-4911,※公演ごとに変動,
渋谷区,東３丁目,-,東京都渋谷区東3-16-6 リキッドルーム2F,35.649135,139.7105325,TimeOut Café & Diner,恵比寿,ラウンジ ･ カフェ,Live ･ Lounge ･ Others,03-5774-0440,11:30-23:30 / 土13:00-23:30 / 日･祝13:00-22:00,無休
渋谷区,東３丁目,-,東京都渋谷区東3-14-19 オークヒルズ B1F,35.651349,139.709502,自由空間 CreAto,恵比寿,ライブホール,Others,03-6427-5273,ALL TIME,不定休
渋谷区,東３丁目,-,東京都渋谷区東3-16-6 LIQUIDROOM 2F,35.649135,139.7105325,KATA,恵比寿,ギャラリー ･ イベントスペース,Allmix ･ Others,-,※イベント･スケジュールにより異なる,
渋谷区,東３丁目,-,東京都渋谷区東3-16-6,35.649135,139.7105325,LIQUIDROOM,恵比寿,ライブハウス,Live ･ All Genre,03-5464-0800,ライブにより異なる,
渋谷区,東２丁目,-,東京都渋谷区東2-20-13 シャトレー渋谷B1F,35.653365,139.7090115,dining&bar KITSUNE,渋谷,ダイニングバー,House ･ HipHop ･ Electronic ･ Others,03-5766-5911,日-木･祝 18:00-24:00 / 金･土･祝前 18:00-05:00,無し (年始は休業となる)
渋谷区,東２丁目,-,東京都渋谷区東2-24-4 荒井ビル2F,35.651763,139.708764,Suree,恵比寿,バー,House ･ Techno ･ Jazz ･ Disco ･ Soul ･ HipHop ･ etc.,03-3400-1383,"平日･日･祝 20:00-02:00 / 金･土 20:00-05:00
ランチ 11:30-15:00",
渋谷区,東１丁目,-,東京都渋谷区東1-25-2 マルハシビルB1F,35.654607,139.708431,CLUB CRAWL,渋谷,ライブハウス ･ CLUB,Rock ･ Acoustic ･ Live ･ Others,03-3498-3113,All Night event 23:30～ ※イベントにより異なる,
新宿区,大久保２丁目,-,東京都新宿区大久保2-5-19 シティプラザ大久保B1F,35.702973,139.708116,HEAD POWER,新宿,ライブハウス,Rock ･ POPs ･ Hardcore ･ R&B ･ A-POP ･ Folk ･ Others,03-6380-3769,"15:00-22:00
貸切可能 09:00-22:00 / 深夜23:00-05:00",不定
新宿区,大久保２丁目,-,東京都新宿区大久保2-32-3 リスボンビルB1F,35.701434,139.7025495,EARTHDOM,新宿,ライブハウス,Psychedelic ･ Others ･ Rock ･ punk ･ Hardcore ･ Live,03-3205-4469,開演時間により変動,
渋谷区,代々木２丁目,-,東京都渋谷区代々木2-26-2 第二桑野ビル1-C,35.685234,139.69926,Spincoaster Music Bar,その他,バー,BlackMusic ･ All Genre ･ Disco ･ POPs ･ ChillOut ･ House ･ HipHop ･ etc.,03-6300-9211,19:00-02:00,日 (貸切は可能)
渋谷区,代々木１丁目,-,東京都渋谷区代々木1-45-3 セントオフィスビル2F,35.682237,139.6983645,shirokuma,その他,バー ･ イベントスペース,House ･ HipHop ･ Funk ･ Jazz ･ Others,03-3375-8275,20:00-24:00,不定休
渋谷区,代々木１丁目,-,東京都渋谷区代々木1-28-9 代々木VILLAGE,35.681697,139.7011545,Village Music Bar,その他,ミュージックバー,Techno ･ Electronic ･ R&B ･ Jazz ･ Disco ･ etc.,03-6276-8440,18:00-03:00 / 日･祝18:00-24:00,不定休
渋谷区,代々木１丁目,-,東京都渋谷区代々木1-31-12 日綜代々木ビルB1F,35.681472,139.702329,LIVE labo YOYOGI,その他,ライブハウス,Rock ･ POPs ･ Folk ･ Live ･ Others,03-5354-3120,"※ライブごとに変動
貸切 昼10:00-14:00 / 夜14:30-22:30",
渋谷区,代々木１丁目,-,東京都渋谷区代々木1-30-1 代々木パークビルB1F,35.682228,139.7017575,Zher the ZOO YOYOGI,その他,ライブハウス,Rock ･ Acoustic ･ POPs ･ Others,03-5358-4491,日により変動,
渋谷区,代官山町,-,東京都渋谷区代官山町20-20 モンシェリー代官山B2F,35.648082,139.7022345,晴れたら空に豆まいて,恵比寿,イベントスペース,POPs ･ Acoustic ･ All Genre ･ Others,03-5456-8880,"18:00～ ※公演ごとに開催時間は変動
(貸切: 日中10:00-15:00 / 夜15:00-22:00)",無休
渋谷区,代官山町,-,東京都渋谷区代官山町11-12 日進ヒルズ代官山B1F,35.650917,139.7037015,Debris,恵比寿,ミュージックバー,Techno ･ House ･ Disco ･ Others,03-6416-4334,19:00-24:00 / 日 18:00-23:00,月
新宿区,早稲田町,-,東京都新宿区早稲田町74 オアシスビルB1F,35.705862,139.7225385,RiNen,その他,ライブハウス,Acoustic ･ Folk ･ POPs ･ Rock ･ Others,03-6273-8832,"公演開始時間は日により変動
(貸切: 平日 15:00-22:00 / 土･日･祝 10:00-22:00)",
港区,赤坂７丁目,赤坂,東京都港区赤坂7-9-7 バルビゾン74 1F,35.669844,139.73301,dot & blue,赤坂,バー,Piano ･ Jam session ･ Jazz ･ Disco ･ House,03-3568-3188,18:00-02:00,日 ･ 祝
港区,赤坂５丁目,赤坂,東京都港区赤坂5-3-1 赤坂Bizタワー1F,35.67321,139.73643,P.C.A. PUB CARDINAL AKASAKA,赤坂,バー ･ ラウンジ,Jazz ･ Soul ･ Funk ･ Lounge ･ All Genre,03-5545-7767,月-土 11:00-04:00 / 日･祝 11:00-23:00,不定休
港区,赤坂３丁目,赤坂,東京都港区赤坂3-21-10 赤坂青明会館B1F,35.676423,139.7358945,Graffiti,赤坂,ライブハウス,Acoustic ･ Rock ･ POPs ･ etc.,-,"※ライブ開演は日程による
貸切対応時間 10:00-22:00",不定休
港区,赤坂３丁目,赤坂,東京都港区赤坂3-1-11 鈴木ビル3F,35.676855,139.736799,鶴千,赤坂,バー,80s ･ 70s ･ Eurobeat ･ Funk ･ Soul ･ Disco,03-3583-2207,19:00-04:00,日 ･ 祝
港区,赤坂３丁目,赤坂,東京都港区赤坂3-14-1 コンチネンタルIVビルB1F,35.674038,139.7373345,The Great Journey,赤坂,バー,R&B ･ Jazz ･ Disco ･ Soul ･ Funk ･ 70s ･ 80s ･ HipHop,03-5545-5169,19:00-03:00,日 ･ 祝
港区,赤坂３丁目,赤坂,東京都港区赤坂3-20-2 赤坂第3福富ビルB1F,35.67618,139.736349,Bar Luther,赤坂,バー,Black Contemporary ･ AOR ･ smooth jazz,03-6277-8016,19:00-04:00,日
港区,赤坂３丁目,赤坂,東京都港区赤坂3-11-7 ソシアル赤坂地下,35.674551,139.7375685,CRAWFISH,赤坂,ライブバー,Rock ･ Jazz ･ Folk ･ Blues ･ POPs ･ Others,03-3584-2496,19:00前後-24:00,
港区,赤坂２丁目,赤坂,東京都港区赤坂2-14-1 赤坂山王会館B1F,35.672877,139.737888,CLUB TENJIKU,赤坂,ライブハウス,Allmix ･ POPs ･ Live ･ Rock ･ All Genre ･ EDM,03-3560-2040,※イベント･スケジュールにより異なる,
港区,西麻布４丁目,-,東京都港区西麻布4-1-1 麻布霞町マンションB1F,35.659476,139.7232675,西麻布MUSE,麻布,CLUB ･ バー,House ･ R&B ･ Allmix,03-5467-1188,"22:00～
クラブ営業: 水･木･金･土･祝前
バー営業: 火
※特別なイベントなどで営業時間が変更となる可能性があります。必ず事前にご確認下さい。",日 ･ 月 (※祝前日を除く)
港区,西麻布３丁目,-,東京都港区西麻布3-1-25 B1F,35.660763,139.7275155,SuperDeluxe,麻布,CLUB,All Genre ･ Live ･ Others,-,※イベントスケジュールにより異なる,不定休
港区,西麻布３丁目,-,東京都港区西麻布3-2-9 サンライズ六本木B1F,35.660151,139.7277675,BASECAMP,六本木,バー ･ イベントスペース,All Genre ･ Others,03-6434-7800,19:00-24:00 ※イベント開始はそれぞれ異なる,日 ･ 月 (※要確認)
港区,西麻布１丁目,-,東京都港区西麻布1-12-5 1F,35.660088,139.7240865,BAR BLUE,麻布,DJバー,Others,03-6804-3193,18:00-05:00,無休
港区,西麻布１丁目,-,東京都港区西麻布1-8-4 三保谷硝子B1F,35.6607,139.7258235,新世界,麻布,ライブハウス ･ イベントスペース,Live ･ Others,03-5772-6767,※イベントスケジュールにより異なる,不定休
港区,西麻布１丁目,-,東京都港区西麻布1-8-10 1F,35.66043,139.725,PULPLISM,麻布,ハンバーガーショップ,Others,03-3401-8350,"11:30-24:00
金･土 11:30-02:00
日 11:30-18:00",不定
港区,西麻布１丁目,-,東京都港区西麻布1-14-17 WAVE西麻布1F-2F,35.661285,139.7233485,Trip Bar,麻布,ダイニングバー,TOP40 ･ 80s ･ HipHop ･ BlackMusic ･ etc.,03-6447-0333,"月-土 18:00-04:00 (2階: 05:00まで)
日･祝 17:00-24:00",不定
港区,西麻布１丁目,-,東京都港区西麻布1-7-2,35.660826,139.726224,A-LIFE,六本木,CLUB,House ･ Allmix ･ R&B ･ EDM ･ Electro ･ etc.,03-3408-1111,21:00-05:00,日 ･ 祝
新宿区,西早稲田２丁目,-,東京都新宿区西早稲田2-1-19 YKビルB1F,35.706645,139.7173005,Sabaco,その他,カフェバー,Techno ･ House ･ Others ･ Live ･ Electronic ･ A-POP,03-5272-7385,"18:30-23:30 ※日により変動
貸切可能: 平日18:00-24:00 / 土･日･祝14:00-24:00",月
新宿区,西新宿６丁目,-,東京都新宿区西新宿6-6-2 ヒルトン東京2F,35.693019,139.6908495,バー&ラウンジ ZATTA,新宿,バー,R&B ･ Jazz ･ POPs ･ HipHop ･ House ･ Allmix ･ Electro ･ NewAge ･ Live ･ Acoustic,03-3344-5111,"11:00-25:00 / 週末 11:00-26:00
(DJ･ライブ: 18:30～)",無し
新宿区,西新宿６丁目,-,東京都新宿区西新宿6-5-1 アイランドホール2F,35.693082,139.6931445,ReNY,新宿,ライブハウス,All Genre ･ Live,03-5990-5561,公演ごと変動,
新宿区,西新宿３丁目,-,東京都新宿区西新宿3-15-8 西新宿パールビルB1F,35.683902,139.689693,WALL,その他,ライブハウス,Live ･ Others ･ POPs ･ Rock ･ All Genre,03-5351-6241,ライブスケジュールにより異なる,
渋谷区,西原２丁目,-,東京都渋谷区西原2-27-4 B1,35.675217,139.678344,CLUB HEAVY SICK,その他,CLUB ･ ライブハウス,HipHop ･ Rock ･ Reggae ･ Live,03-3466-1445,※スケジュールにより異なる,不定休
渋谷区,神南１丁目,-,東京都渋谷区神南1-12-14 星ビル301,35.662842,139.700565,TRUMPROOM,渋谷,CLUB,House ･ Techno ･ Electronic ･ DUBSTEP,03-3770-2325,,無休
渋谷区,神南１丁目,-,東京都渋谷区神南1-15-7 COENビルB1,35.663661,139.6993725,UNDERBAR,渋谷,CLUB,HipHop ･ House ･ R&B ･ Electronic,03-3780-0858,16:00-21:00 / 22:00-05:00,無休
渋谷区,神南１丁目,-,東京都渋谷区神南1-3-4 神南ビル B1F,35.664723,139.7012445,UNDER DEER LOUNGE,渋谷,ミュージックラウンジ,Live ･ POPs ･ Soul ･ Funk ･ All Genre,03-5728-2655,17:00-24:00,無休
渋谷区,神南１丁目,-,東京都渋谷区神南1-18-2 神南坂フレームB2/B3,35.662662,139.6997955,Club Camelot,渋谷,クラブ,House ･ R&B ･ EDM ･ Allmix ･ HipHop,03-5728-5613,"金･土･日･祝前: 21:00-04:30
月-木: 22:00-04:30
※イベントにより変動
※最新の情報とは異なる場合があります。必ず事前にご確認下さい。",無休
渋谷区,神南１丁目,-,東京都渋谷区神南1-7-9 北谷マンションB1F,35.664111,139.6992915,Green Lounge,渋谷,パーティースペース,Others,03-6455-3308,10:00～,不定休
渋谷区,神南１丁目,-,東京都渋谷区神南1-9-11 インタービルⅡ 5F,35.66493,139.7015415,Cafe Apres-midi,渋谷,バー ･ カフェ,Soul ･ Disco ･ House ･ Live ･ Others,03-5428-5121,"金 19:00-25:00
土 11:30-23:30
日 11:30-19:00",月-木
渋谷区,神南１丁目,-,東京都渋谷区神南1-9-11 インタービルⅡB1F,35.66493,139.7015415,Bar SUBTERRANEANS,渋谷,バー,Techno ･ Live ･ Others,03-6416-3967,20:00-05:00,月
渋谷区,神南１丁目,-,東京都渋谷区神南1-23-10 マグネット内 7F,35.659899,139.700961,MAG7 (MAGNET by SHIBUYA109),渋谷,飲食施設,House ･ Allmix ･ J-POP ･ Disco ･ BassMusic ･ Others,03-3477-5111,"飲食店舗営業: 11:00-23:00
(金曜: DJパーティ 20:30-22:30) ※要確認",MAGNETの営業日に準ずる
渋谷区,神南１丁目,-,東京都渋谷区神南1-6-8 B1F,35.664399,139.699386,eggman,渋谷,ライブハウス,Live ･ All Genre,03-3496-1561,※イベントにより異なる,
渋谷区,神南１丁目,-,東京都渋谷区神南1-13-15 光立ビルB1F,35.663994,139.7003985,KOARA,渋谷,DJバー,Techno ･ House ･ Allmix ･ Disco,03-6423-0644,"月-木21:00-05:00
金･土21:00-06:00
日17:00-23:00
※最新の情報とは異なる場合があります。必ず事前にご確認下さい。",
渋谷区,神南１丁目,-,東京都渋谷区神南1-15-8 引き出しのような家にB1F,35.663751,139.699368,nagomix,渋谷,イベントスペース,Others,03-6809-0833,"スケージュールによる
DJブース開放日あり (17:00-22:00)
貸切可能時間 10:00-23:00",
千代田区,神田佐久間町２丁目,-,東京都千代田区神田佐久間町2-11 アオイビル2F,35.697825,139.776399,あるけみすと,その他,DJバー,A-POP ･ Game Music,03-3863-4766,"19:00-05:00
土･日･祝: カフェ営業 14:00～",無休
千代田区,神田佐久間河岸,-,東京都千代田区神田佐久間河岸55 ASビルB1F,35.697141,139.776462,CLUB GOODMAN,その他,ライブハウス,All Genre ･ POPs ･ Rock ･ Acoustic ･ Folk ･ Live ･ Others,03-3862-9010,"※開始は日程より異なる
貸切対応 10:00-22:00",無休
