指標名,ホール・劇場,,,,,,,,,,,,,,,,,
出典,東京都生活文化局,,,,,,,,,,,,,,,,,
年次,平成31年3月,,,,,,,,,,,,,,,,,
URL,https://www.seikatubunka.metro.tokyo.lg.jp/bunka/bunka_seisaku/0000001271.html,,,,,,,,,,,,,,,,,
備考,野外会場も含む,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,電話番号,URL,客席数,収容人数,舞台形式,全体形式,客席形式,これまでの利用実績ジャンル,施設に適しているもしくは利用して欲しいジャンル,利用対象,利用条件を設定している場合の条件,利用可能時間帯
港区,六本木７丁目,六本木,東京都港区六本木7-14-23 　セントラム六本木ビルB1F,35.663589,139.731435,ｎｉｃｏｆａｒｒｅ,03-3478-3750,http://nicofarre.jp/,,,,,,,,,,
港区,六本木７丁目,六本木,東京都港区六本木7-22-1,35.663832,139.7272365,政策研究大学院大学　想海樓ホール,03-6439-6022,http://www.grips.ac.jp/jp/about/campus/,300,300,オープン形式,シューボックス形式,ロールバックチェア、可動席（スタッキングチェア）（可動席（ワンタッチ上下式並列脚））,映像上映会（試写会など）、講演会,講演会,利用条件を設定している（市・区での活動団体等）,国際機関、国の機関、地方公共団体、教育研究団体、日本学術会議協力学術団体、公益法人その他これに準ずる団体（宗教法人及び政党、政治団体を除く）、その他学長が適切であると認める団体,08:00～21:00
港区,六本木６丁目,六本木,東京都港区六本木6-1-8　グリーンビル 5F,35.662518,139.7321955,JAZZ RESTAURANT SATIN DOLL,03-3401-3080,http://www.leglant.com/satindoll/,,,,,,,,,,
港区,六本木６丁目,六本木,東京都港区六本木６丁目４－１,35.661339,139.7301345,六本木ヒルズ　ハリウッドビューティプラザ〔ハリウッドホール〕,03-3408-5020,https://www.hollywood.ac.jp/hall/,1200,1200,オープン形式,シューボックス形式,可動席（スタッキングチェア）,クラシック、演劇、ミュージカル、ダンス・パフォーマンス、映像上映会（試写会など）、講演会、展示会、その他1（ヘアコンテスト）、その他2（撮影）,クラシック、演劇、ミュージカル、映像上映会（試写会など）、講演会、展示会、その他1（ヘアコンテスト）,一般に貸出している,,09:00～21:00
港区,六本木６丁目,六本木,東京都港区六本木6-10-1,35.66043,139.7292615,【野外】六本木ヒルズアリーナ,03-6406-6611,http://www.roppongihills.com/facilities/arena/,,,,,,,,不明,,07:00～23:00
港区,六本木５丁目,六本木,東京都港区六本木5-11-12,35.659341,139.7332485,Zeppブルーシアター六本木,03-5414-3255,http://www.blue-theater.jp/,,,,,,,,,,
港区,六本木５丁目,六本木,東京都港区六本木5‐11‐16 　国際文化会館,35.658441,139.7334555,国際文化会館 岩崎小彌太記念ホール〔岩崎小彌太記念ホール〕,03-3470-4616,https://www.i-house.or.jp/facilities/banquet/hall/,180,180,,シューボックス形式,可動席（スタッキングチェア）,クラシック、歌舞伎、能・狂言、日本の伝統音楽（邦楽等）、オペラ、ダンス・パフォーマンス、映像上映会（試写会など）、講演会、展示会、その他1（パーティー）,クラシック、演歌・歌謡曲、ジャズ、演劇、ミュージカル、歌舞伎、能・狂言、日本の伝統音楽（邦楽等）、世界の民族音楽、お笑い・寄席・演芸、バレエ、オペラ、ダンス・パフォーマンス、合唱、映像上映会（試写会など）、講演会、展示会、その他1（パーティー）,一般に貸出している,,-
港区,六本木５丁目,六本木,東京都港区六本木5-16-45,35.660682,139.7350845,港区立麻布区民センター〔区民ホール〕,03-3583-5487,http://www.azabu-civiccenter.jp/shisetsu/list_1.html,237,237,プロセニアム形式,シューボックス形式,ロールバックチェア,,ポップス、クラシック、演歌・歌謡曲、ジャズ、演劇、日本の伝統音楽（邦楽等）、世界の民族音楽、お笑い・寄席・演芸、ダンス・パフォーマンス、合唱、映像上映会（試写会など）、講演会、展示会,利用条件を設定している（市・区での活動団体等）,利用登録団体（個人）に限定。,09:00～21:30
港区,六本木５丁目,六本木,東京都港区六本木5-18-2 　大昌第二ビルB1F,35.661213,139.737258,六本木ＶＡＲＩＴ．,03-6441-0825,http://www.r-varit.net/,,,,,,,,,,
港区,六本木５丁目,六本木,東京都港区六本木5-18-21 　FIVE PLAZA B2F,35.660943,139.73697,六本木ＣＬＵＢ ＥＤＧＥ,03-3505-4561,http://www.club-edge.net/,,,,,,ポップス、クラシック、演歌・歌謡曲、ジャズ、演劇、ミュージカル、歌舞伎、お笑い・寄席・演芸、ダンス・パフォーマンス、合唱、講演会,,一般に貸出している,,
港区,六本木５丁目,六本木,東京都港区六本木5-3-1 　第二レーヌビルB1F,35.662077,139.7332755,六本木ケントス,03-3401-5755,http://www.kentos-roppongi.jp/,,,,,,,,,,
港区,六本木５丁目,六本木,東京都港区六本木5-3-4 　レーヌビル2F,35.661969,139.7335545,六本木ＢＡＵＨＡＵＳ,03-3403-0092,http://www.e-bauhaus.jp/,,,,,,,,,,
港区,六本木５丁目,六本木,東京都港区六本木5-5-1　 ロアビル13F,35.66196,139.7346075,V2TOKYO,03-5474-0091,http://www.v2tokyo.com/,,,,,,,,,,
港区,六本木４丁目,六本木,東京都港区六本木4-11-11 　六本木GMビルB1F,35.664237,139.731525,ｍｏｒｐｈ－ｔｏｋｙｏ,03-5414-2683,http://www.morph-tokyo.com/,,,,,,,,,,
港区,六本木４丁目,六本木,東京都港区六本木4-11-5 　六本木ビル アネックスB1F,35.664138,139.731921,ＡＢＢＥＹ ＲＯＡＤ,03-3402-0017,http://www.abbeyroad.ne.jp/,,,,,,,,,,
港区,六本木４丁目,六本木,東京都港区六本木4-9-2,35.66376,139.7325195,俳優座劇場,03-3470-2880,http://www.haiyuzagekijou.co.jp/,300,,プロセニアム形式,シューボックス形式,固定席,演劇,演劇,,,
港区,六本木３丁目,六本木,東京都港区六本木3-13-14ゴトウビル3rd 5F,35.663112,139.7340135,ＢＩＲＤＬＡＮＤ,03-3402-3456,http://www.bird-land.co.jp/,70,120,,,,,,,,
港区,六本木３丁目,六本木,東京都港区六本木3-16-33 　青葉六本木ビルB1F,35.66205,139.7363895,六本木クラップス,03-4585-5771（運営会社：㈱日本ラステック）,http://c-laps.jp/,80,80,オープン形式,シューボックス形式,固定席,ポップス、クラシック、演歌・歌謡曲、ジャズ、演劇、日本の伝統音楽（邦楽等）、世界の民族音楽、お笑い・寄席・演芸、ダンス・パフォーマンス、合唱、映像上映会（試写会など）、講演会、その他1（記者会見）、その他2（企業イベント）,,利用条件を設定している（市・区での活動団体等）,主にプロミュージシャン、企業イベントなど,10:00～22:30
千代田区,六番町,-,東京都千代田区六番町2-9　セルバンテスビル,35.688339,139.735386,インスティトゥト・セルバンテス東京,03-5210-1800,http://tokio.cervantes.es/jp/default.shtm,159,159,オープン形式,シューボックス形式,固定席,ポップス、クラシック、演劇、世界の民族音楽、ダンス・パフォーマンス、映像上映会（試写会など）、講演会,その他1（スペイン語、スペイン語圏）,利用条件を設定している（市・区での活動団体等）,スペイン語及びスペイン語圏文化に関する催し,-
千代田区,有楽町２丁目,大丸有,東京都千代田区有楽町2-5-1 有楽町センタービル（有楽町マリオン）II期棟７階,35.67357,139.763565,オルタナティブシアター,03-6895-0062,https://www.alternative_theatre.jp,,,プロセニアム形式,シューボックス形式,固定席,ポップス、演歌・歌謡曲、演劇、ミュージカル、お笑い・寄席・演芸、ダンス・パフォーマンス、映像上映会（試写会など）、講演会、その他1（記者発表会）、その他2（撮影（ロケ）場所）,ポップス、演歌・歌謡曲、ジャズ、演劇、ミュージカル、お笑い・寄席・演芸、ダンス・パフォーマンス、映像上映会（試写会など）、講演会、展示会、その他1（記者発表会）、その他2（ロケ場所）,一般に貸出している,,10:00～22:00
千代田区,有楽町２丁目,大丸有,東京都千代田区有楽町2-5-1　有楽町マリオン11F,35.67357,139.763565,有楽町朝日ホール,03-3284-0131,http://www.asahi-hall.jp/yurakucho/,636,636,プロセニアム形式,シューボックス形式,固定席、可動席（スタッキングチェア）,ポップス、ジャズ、能・狂言、日本の伝統音楽（邦楽等）、世界の民族音楽、お笑い・寄席・演芸、映像上映会（試写会など）、講演会、その他1,お笑い・寄席・演芸、映像上映会（試写会など）、講演会、その他1,,,09:00～21:00
千代田区,有楽町２丁目,大丸有,東京都千代田区有楽町2-5-1 有楽町マリオン11F,35.67357,139.763565,ヒューリックホール東京,03-6674-1443,http://hulic-theater.com/,,,,,,,,,,
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町1-5-1 　日比谷マリンビルB1F,35.67456,139.759506,松尾ホール〔スタインウェイ・サロン東京　松尾ホール〕,03-3539-1845,http://www.h-matsuo.co.jp/hall_studio/hall_tokyo.html,88,88,,,,クラシック,クラシック,利用条件を設定している（市・区での活動団体等）,会員制（会員カード入会）,10:00～19:00
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町1-1-1,35.673255,139.7586015,日生劇場,03-3503-3111,http://www.nissaytheatre.or.jp/,,,,,,,,,,
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町1-11-1　読売会館7F,35.675451,139.7629215,有楽町よみうりホール,03-3231-0551,http://yomi-h.jp/,1100,1100,プロセニアム形式,その他,固定席,,,一般に貸出している,,09:00～21:00
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町1-1-3,35.672949,139.7591055,東京宝塚劇場,0570-00-5100,http://kageki.hankyu.co.jp/theater/tokyo/,2073,2122,プロセニアム形式,その他,固定席,ミュージカル、その他1（レヴュー）,ミュージカル、その他1（レヴュー）,一般への貸出はしていない　　,,10:00～18:00
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町1-2-1,35.67258,139.759632,シアタークリエ,03-3591-2400,http://www.toho.co.jp/stage/theatre_crea/,609,609,プロセニアム形式,シューボックス形式,固定席,,,一般への貸出はしていない　　,,
新宿区,矢来町,-,東京都新宿区矢来町158,35.704323,139.734981,神楽坂セッションハウス　〔BF1スタジオ〕,03-3266-0461,http://www.session-house.net/index.html,,,,,,,,,,
新宿区,矢来町,-,東京都新宿区矢来町158,35.704323,139.734981,神楽坂セッションハウス　〔２Fギャラリーガーデン〕,03-3266-0461,http://www.session-house.net/index.html,100,100,その他（フリー形式）,アリーナ・平土間形式、扇形形式,可動席（スタッキングチェア）,ポップス、クラシック、ジャズ、演劇、日本の伝統音楽（邦楽等）、世界の民族音楽、バレエ、ダンス・パフォーマンス、映像上映会（試写会など）、講演会、展示会,クラシック、ジャズ、演劇、日本の伝統音楽（邦楽等）、世界の民族音楽、お笑い・寄席・演芸、バレエ、ダンス・パフォーマンス、映像上映会（試写会など）、講演会、展示会,一般に貸出している,,10:00～22:00
新宿区,矢来町,-,東京都新宿区矢来町60,35.70273,139.732389,矢来能楽堂,03-3268-7311,http://yarai-nohgakudo.com/,237,237,その他,その他,固定席、可動席（スタッキングチェア）,能・狂言、日本の伝統音楽（邦楽等）、講演会,能・狂言,利用条件を設定している（市・区での活動団体等）,能楽に限った利用団体・個人,10:00～17:00
渋谷区,本町４丁目,-,東京都渋谷区本町4-19-1 B1F,35.688321,139.680045,TOGI BAR,03-3373-6087,http://togibar.com/,,,オープン形式,シューボックス形式,可動席（スタッキングチェア）（立見）,ポップス、演歌・歌謡曲、お笑い・寄席・演芸、ダンス・パフォーマンス,ポップス、演歌・歌謡曲、ジャズ、演劇、ミュージカル、日本の伝統音楽（邦楽等）、世界の民族音楽、お笑い・寄席・演芸、ダンス・パフォーマンス、合唱、映像上映会（試写会など）、講演会,一般に貸出している,,09:00～22:00
渋谷区,本町４丁目,-,東京都渋谷区本町4-9-7,35.686791,139.6806525,本町区民会館〔大集会場〕,03-3376-8453,http://www.city.shibuya.tokyo.jp/shisetsu/shiiki/kumin-kaikan/km_honmachi.html,200,200,,,可動席（スタッキングチェア）（折りたたみイス）,演劇、ダンス・パフォーマンス、講演会、展示会,講演会、展示会,一般に貸出している,,09:00～21:00
渋谷区,本町１丁目,-,東京都渋谷区本町1-1-1,35.68266,139.686003,新国立劇場〔オペラ劇場〕,03-5351-3011,http://www.nntt.jac.go.jp/,1814,1814,プロセニアム形式,その他,ロールバックチェア,,バレエ、オペラ,一般に貸出している,,10:00～22:00
渋谷区,本町１丁目,-,東京都渋谷区本町1-1-1,35.68266,139.686003,新国立劇場〔中劇場〕,03-5351-3011,http://www.nntt.jac.go.jp/,1038,1038,プロセニアム形式、オープン形式,その他,ロールバックチェア,,演劇、ミュージカル、バレエ、オペラ、ダンス・パフォーマンス,一般に貸出している,,10:00～22:00
渋谷区,本町１丁目,-,東京都渋谷区本町1-1-1,35.68266,139.686003,新国立劇場〔小劇場〕,03-5351-3011,http://www.nntt.jac.go.jp/,468,468,その他（可動式、オープンスペース。）,シューボックス形式,ロールバックチェア,,演劇、ミュージカル、ダンス・パフォーマンス,一般に貸出している,,10:00～22:00
渋谷区,本町１丁目,-,東京都渋谷区本町1-2-1,35.681391,139.6855125,初台Ｔｈｅ ＤＯＯＲＳ,03-5350-5800,http://1091m.com/?page_id=274,,,,,,,,,,
港区,北青山２丁目,-,東京都港区北青山2-7-29 　WEEZ北青山ビル地下2F,35.671905,139.7171385,ＨＥＡＶＥＮ 青山’ＳＲ,03-6447-0558,http://www.heaven-aoyama.jp/,,,,,,,,,,
新宿区,北新宿２丁目,-,東京都新宿区北新宿2-1-2　新宿村CENTRAL B2F,35.697006,139.6901025,新宿村LIVE〔新宿村LIVE〕,03-3361-5510,http://www.sihnjukumura-live.com,230,230,プロセニアム形式,シューボックス形式,可動席（スタッキングチェア）（固定席＋可動席）,演劇、ミュージカル、ダンス・パフォーマンス、その他1（トークショー）、その他2（アイドルライブ）、その他3（発表会）,ポップス、演歌・歌謡曲、演劇、ミュージカル、ダンス・パフォーマンス,一般に貸出している,,09:00～22:00
千代田区,北の丸公園,-,東京都千代田区北の丸公園2-1,35.691291,139.753071,科学技術館サイエンスホール〔科学技術館　サイエンスホール〕,03-3212-8485,http://www.event-jsf.jp/science-hall,,,,,,,,,,
渋谷区,富ケ谷１丁目,-,東京都渋谷区富ヶ谷1-37-5 　(株)白寿生科学研究所本社ビル 7F,35.667333,139.690188,HAKUJU HALL,03-5478-8867,https://www.hakujuhall.jp/,300,300,オープン形式,シューボックス形式,固定席,ポップス、クラシック、演歌・歌謡曲、ジャズ、演劇、日本の伝統音楽（邦楽等）、世界の民族音楽、お笑い・寄席・演芸、オペラ、ダンス・パフォーマンス、合唱、映像上映会（試写会など）、講演会、その他1（ファッションショー）、その他2（番組収録）,クラシック、ジャズ、日本の伝統音楽（邦楽等）、世界の民族音楽、合唱、映像上映会（試写会など）、講演会,一般に貸出している,,09:00～21:30
新宿区,百人町３丁目,-,東京都新宿区百人町3-1-2,35.704719,139.700349,東京グローブ座,03-3366-4020,http://www.tglobe.net/,,,,,,,,,,
新宿区,百人町２丁目,-,東京都新宿区百人町2-1-1 　K-PLAZA1 B2F,35.701515,139.7021985,新大久保ｕｎｉｑｕｅ ＬＡＢＯＲＡＴＯＲＹ,03-6205-6158,http://www.unique-laboratory.com/,,,,,,,,,,
新宿区,百人町２丁目,-,東京都新宿区百人町2-16-17 　ＡＶＡＮＴＩ21 Ｂ1F,35.704071,139.698711,スタジオヴィルトゥオージ,03-3362-6482,http://studiovirtuosi.nomaki.jp/,80,80,,アリーナ・平土間形式、扇形形式,,クラシック、合唱,クラシック、合唱、その他1（朗読）,一般に貸出している,,-
新宿区,百人町２丁目,-,東京都新宿区百人町2-2-1 5Ｆ,35.701524,139.701474,ＫＰＬ,050-3554-8399,http://kpop-live.com/,,,,,,,,,,
新宿区,百人町２丁目,-,東京都新宿区百人町2-23-5　矯風会館 1F,35.702343,139.6966455,クラッシックスペース★100,03-3362-6764,http://tsocs100.com/index.html,,,,,,,,,,
新宿区,百人町２丁目,-,東京都新宿区百人町2-8-9　管楽器専門店ダク地下,35.703387,139.6994445,スペースＤｏ,03-3361-2211,http://www.kkdac.co.jp/do/,100,100,オープン形式,アリーナ・平土間形式、扇形形式,可動席（スタッキングチェア）,,ポップス、クラシック、ジャズ、ミュージカル、日本の伝統音楽（邦楽等）、世界の民族音楽、合唱,一般に貸出している,,10:30～21:30
新宿区,百人町１丁目,-,東京都新宿区百人町 1-5-1　百人町ビル1F,35.698239,139.7011815,新宿 ネイキッドロフト,03-3205-1556,http://www.loft-prj.co.jp/naked/,,,,,,,,,,
新宿区,百人町１丁目,-,東京都新宿区百人町1-10-7 　一番街ビルB1F,35.700318,139.699935,新大久保CLUB Voice,03-5338-0938,http://clubvoice.jp/,50,150,オープン形式,アリーナ・平土間形式、扇形形式,可動席（スタッキングチェア）（スタンディング）,ポップス、クラシック、演歌・歌謡曲、ジャズ、演劇、ミュージカル、日本の伝統音楽（邦楽等）、世界の民族音楽、お笑い・寄席・演芸、オペラ、ダンス・パフォーマンス、合唱,ポップス、演歌・歌謡曲、ジャズ、日本の伝統音楽（邦楽等）、世界の民族音楽、お笑い・寄席・演芸、オペラ、ダンス・パフォーマンス、合唱,一般に貸出している,,10:00～22:00
新宿区,百人町１丁目,-,東京都新宿区百人町1-11-29 　ARSビルB2F,35.70021,139.699638,Quarter Note,03-3363-6631,http://quarter-note.com/index.html,102,150,,,可動席（スタッキングチェア）,ポップス、演歌・歌謡曲、ダンス・パフォーマンス,ポップス、ダンス・パフォーマンス,一般に貸出している,,
新宿区,百人町１丁目,-,東京都新宿区百人町1-17-7　大久保ビルＡ館Ｂ1F,35.701542,139.697604,OKUBO ＨＯＴ ＳＨＯＴ,03-5338-8280,http://homepage3.gourmet.coocan.jp/,,,,,,,,,,
新宿区,百人町１丁目,-,東京都新宿区百人町1-20-23,35.700498,139.696425,石森管楽器,03-3360-4970,http://www.ishimori-co.com/page/eventspace,,,,,,,,,,
新宿区,百人町１丁目,-,東京都新宿区百人町1-7-15　韓流百貨店Ｂ1F,35.701272,139.700934,Ｌｉｖｅ Ｂａｒ Ｂｌｕｅ,03-3209-1578,http://www.livebarblue.com/,,,,,,,,,,
千代田区,飯田橋１丁目,-,東京都千代田区飯田橋1-7-3　増田金属ビルＢ1Ｆ,35.699076,139.7486835,飯田橋 スペースウィズ,03-5213-3085,http://www.spacewith.com/,,,,,,,,,,
千代田区,隼町,-,東京都千代田区隼町4-1,35.681436,139.74336,国立劇場〔大劇場〕,03-3265-7411,https://www.ntj.jac.go.jp/kokuritsu.html,1610,1610,プロセニアム形式,その他,固定席,,,利用条件を設定している（市・区での活動団体等）,日本の伝統芸能を優先している。,10:30～21:30
千代田区,隼町,-,東京都千代田区隼町4-1,35.681436,139.74336,国立劇場〔小劇場〕,03-3265-7411,https://www.ntj.jac.go.jp/kokuritsu.html,590,590,プロセニアム形式,その他,固定席,,,利用条件を設定している（市・区での活動団体等）,日本の伝統芸能を優先している。,10:30～21:30
千代田区,隼町,-,東京都千代田区隼町4-1,35.681436,139.74336,国立演芸場〔国立演芸場〕,03-3265-7411,https://www.ntj.jac.go.jp/engei.html,300,300,プロセニアム形式,その他,固定席,,,利用条件を設定している（市・区での活動団体等）,日本の大衆芸能を優先している。,10:30～21:30
渋谷区,鉢山町,-,東京都渋谷区鉢山町13-12 B1F,35.651115,139.6967445,ＬＯＯＰ 代官山,03-6277-5032,http://www.live-loop.com,,,,,,,,,,
中央区,八重洲１丁目,日八京,東京都中央区八重洲1-9-8　ヤエスメッグビルB２F,35.680149,139.770414,東京建物八重洲ホール,03-3274-0941,http://www.tatemono.com/enterprise/build/hall/,108,108,オープン形式,シューボックス形式,可動席（スタッキングチェア）（固定席+可動席）,,,,,10:00～21:00
渋谷区,幡ケ谷３丁目,-,東京都渋谷区幡ヶ谷3-4-1,35.679789,139.67595,幡ヶ谷区民会館〔集会場〕,03-3377-6203,http://www.city.shibuya.tokyo.jp/est/kmkaikan/km_hatagaya.html,,,,,,,,,,
渋谷区,幡ケ谷２丁目,-,東京都渋谷区幡ヶ谷2-8-15　幡ヶ谷KODAビルB1F 102,35.678007,139.6770885,フォレストリミット,03-6276-2886,http://forestlimit.com/fl/,,,,,,,,,,
中央区,日本橋本町３丁目,日八京,東京都中央区日本橋本町3-1-6　日本橋永谷ビル1Ｆ,35.688195,139.77441,お江戸日本橋亭,03-3245-1278,http://ntgp.co.jp/engei/nihonbasi/index.html,,,,,,,,,,
中央区,日本橋浜町２丁目,-,東京都中央区日本橋浜町2-31-1,35.687817,139.7870145,明治座,03-3660-3939,http://www.meijiza.co.jp/,1448,1448,プロセニアム形式,シューボックス形式,固定席,,,,,
中央区,日本橋人形町１丁目,-,東京都中央区日本橋人形町1-1-17　8F,35.684685,139.78161,日本橋社会教育会館〔ホール〕,03-3669-2102,http://chuo-shakyo.shopro.co.jp/nihonbashi,,,,,,,,,,
中央区,日本橋室町２丁目,日八京,東京都中央区日本橋室町2-2-1　COREDO室町1 5F,35.686674,139.774203,日本橋三井ホール,03-5200-3210,http://www.nihonbashi-hall.jp/,,,,,,,,,,
中央区,日本橋室町１丁目,日八京,東京都中央区日本橋室町1-4-1　日本橋三越本店本館６階,35.685603,139.773492,三越劇場,0120-03-9354,http://mitsukoshi.mistore.jp/bunka/theater/index.html;jsessionid=HLxjWwZLN4L0nbS3h5Z3MhmDkyGLMypYqLfrmBFRGwBhn2DWvH40!-1361413285,514,514,プロセニアム形式,その他,固定席,ポップス、クラシック、演歌・歌謡曲、ジャズ、演劇、ミュージカル、歌舞伎、能・狂言、日本の伝統音楽（邦楽等）、世界の民族音楽、お笑い・寄席・演芸、バレエ、オペラ、ダンス・パフォーマンス、合唱、映像上映会（試写会など）、講演会、展示会,ポップス、クラシック、演歌・歌謡曲、ジャズ、演劇、ミュージカル、歌舞伎、能・狂言、日本の伝統音楽（邦楽等）、世界の民族音楽、お笑い・寄席・演芸、バレエ、オペラ、ダンス・パフォーマンス、合唱、映像上映会（試写会など）、講演会、展示会、その他1（太鼓などの打楽器は不可）,一般に貸出している,,10:00～19:00
中央区,日本橋茅場町１丁目,-,東京都中央区日本橋茅場町1-5-8,35.680599,139.77936,東京証券会館,03-3667-9210,http://www.ts-kaikan.co.jp/,342,342,オープン形式,シューボックス形式,固定席,演劇、日本の伝統音楽（邦楽等）、世界の民族音楽、お笑い・寄席・演芸、講演会、その他1（ファンイベント）,日本の伝統音楽（邦楽等）、講演会、その他1（ファンイベント）,一般に貸出している,,-
中央区,日本橋蛎殻町１丁目,-,東京都中央区日本橋蛎殻町1-31-1,35.682462,139.7842605,中央区立日本橋公会堂（日本橋劇場）〔ホール（日本橋劇場）〕,03-3666-4255,http://www.nihonbasikokaido.com/,424,440,プロセニアム形式,シューボックス形式,固定席,クラシック、演歌・歌謡曲、演劇、ミュージカル、歌舞伎、能・狂言、日本の伝統音楽（邦楽等）、世界の民族音楽、お笑い・寄席・演芸、バレエ、ダンス・パフォーマンス、合唱、映像上映会（試写会など）、講演会,演劇、歌舞伎、能・狂言、日本の伝統音楽（邦楽等）、お笑い・寄席・演芸、講演会,一般に貸出している,,09:00～21:30
中央区,日本橋３丁目,日八京,東京都中央区日本橋3-2-17 　日伸ビルB1F,35.680671,139.771098,ＨＩＴ ＳＴＵＤＩＯ ＴＯＫＹＯ,03-5205-3800,http://big-echo.jp/hst/,,,,,,,,,,
千代田区,日比谷公園,-,東京都千代田区日比谷公園1-4,35.671941,139.7546415,千代田区立日比谷図書文化館〔日比谷コンベンションホール（大ホール）〕,03-3502-3345,http://hibiyal.jp/hibiya/room_01.html,207,207,プロセニアム形式,その他,固定席,,映像上映会（試写会など）、講演会,一般に貸出している,,10:00～22:00
