指標名,国際会議,,,,,,,,,,,
新宿区,新宿６丁目,-,"6-chome-1-1 Shinjuku, Shinjuku City, Tokyo 160-8402, Japan",35.693451,139.712321,国際力動的心理療法学会 第25回記念大会,東京医科大学,"11/02～
11/04",3,4,116,120
新宿区,西新宿６丁目,-,"6-chome-6-番2号 Nishishinjuku, Shinjuku City, Tokyo 160-0023, Japan",35.692583,139.691189,Seasonal Meeting of the New York State Bar Association International Section -NYSBA-,ヒルトン東京,"11/05～
11/08",23,115,53,168
新宿区,西新宿２丁目,-,"Japan, 〒160-0023 Tokyo, Shinjuku City, Nishishinjuku, 2-chome-2-1, Keio Plaza Hotel, ﾛﾋﾞｰ階",35.690014,139.694699,第38回日本認知症学会学術集会,京王プラザホテル、新宿NSビル,"11/07～
11/09",6,18,4080,4098
新宿区,西新宿８丁目,-,"Japan, 〒160-0023 Tokyo, Shinjuku City, Nishishinjuku, 8-chome-17-1 住友不動産新宿ｸﾞﾗﾝﾄﾞﾀﾜｰ5F",35.696066,139.690426,Droidkaigi 2019,ベルサール新宿グランドコン ファレンスセンター,"02/07～
02/08",9,150,850,1000
渋谷区,恵比寿１丁目,-,〒150-0013 東京都渋谷区恵比寿1丁目20-8 ｴﾋﾞｽｽﾊﾞﾙﾋﾞﾙ,35.646858,139.713266,Japanese Conservative Political Action Conference (J-CPAC2019),EBiS303,"08/31～
09/01",10,420,1680,2100
渋谷区,代々木神園町,-,"3-1 Yoyogikamizonochō, Shibuya City, Tokyo 151-0052, Japan",35.674414,139.693173,第65回国際学生会議,国立オリンピック記念青少年総合センター,"08/26～
09/01",15,21,36,57
渋谷区,代々木神園町,-,"3-1 Yoyogikamizonochō, Shibuya City, Tokyo 151-0052, Japan",35.674414,139.693173,2019年世界大会 (第23回世界易学大会、第19回世界気功太極中医天然療法研討会及び第6回世界禅武医気易総合大会)（ワークショップ）,国立オリンピック記念青少年総合センター,"10/05～
10/06",20,450,150,600
渋谷区,広尾４丁目,-,"4-chome-2-24 Hiroo, Shibuya City, Tokyo 150-0012, Japan",35.653453,139.72144,C20サミット 2019,聖心グローバルプラザ、虎ノ門ヒルズフォーラム,"04/21～
04/23",40,130,440,570
渋谷区,神宮前５丁目,-,"5-chome-53-70 Jingūmae, Shibuya City, Tokyo 150-8925, Japan",35.662312,139.70828,｢GUAM+日本｣投資促進セミナー,国連大学,"03/20～
03/20",5,90,110,200
渋谷区,神宮前５丁目,-,"5-chome-53-70 Jingūmae, Shibuya City, Tokyo 150-8925, Japan",35.662312,139.70828,"2019年G20サミット教育関連イベント｢
21世紀の教育政策～Society5.0時代における人材育成～｣",国連大学,"09/05～
09/05",16,30,272,302
渋谷区,神宮前５丁目,-,"5-chome-53-70 Jingūmae, Shibuya City, Tokyo 150-8925, Japan",35.662312,139.70828,G20首席農業研究者会議(MACS)関連｢東南･東アジア地域を対象とした食品ロス･廃棄抑制に関する国際ワークショップ｣,国連大学,"10/16～
10/18",12,21,59,80
港区,虎ノ門１丁目,虎ノ門,〒105-0001 東京都港区虎ﾉ門1丁目15,35.6693733,139.7469681,第6回｢海洋法に関する国際シンポジウム｣,海洋政策研究所,"10/31～
10/31",6,20,130,150
港区,北青山２丁目,-,〒107-0061 東京都港区北青山2-8-44,35.672995,139.7147689,5G Huddle 2019 東京会合,TEPIA,"05/14～
05/14",10,70,30,100
港区,台場１丁目,-,"1-chome-9-1 Daiba, Minato City, Tokyo 135-8625, Japan",35.626411,139.770674,サステナブル･ブランド 国際会議2019東京 (SB 2019 Tokyo)（ワークショップ、討論会）,ヒルトン東京お台場,"03/06～
03/07",20,56,2184,2240
港区,台場１丁目,-,"1-chome-9-1 Daiba, Minato City, Tokyo 135-8625, Japan",35.626411,139.770674,国際会議｢Health Professional Meeting (H20) 2019｣,ヒルトン東京お台場,"06/13～
06/14",38,50,170,220
港区,台場１丁目,-,"1-chome-9-1 Daiba, Minato City, Tokyo 135-8625, Japan",35.626411,139.770674,第2回世界海上保安機関長官級会合,ヒルトン東京お台場,"11/20～
11/21",84,176,150,326
港区,海岸１丁目,-,"1-chome-16-2 Kaigan, Minato City, Tokyo 105-8576, Japan",35.653006,139.762375,"11 IOC Advanced Team Physician
Course -ATPC-（討論会）",インターコンチネンタル東京ベイ,"07/01～
07/03",48,132,24,156
港区,三田２丁目,-,"2-chome-15-45 Mita, Minato City, Tokyo 108-8345, Japan",35.648964,139.742938,2019年度 アジア政経学会春季大会,慶應義塾大学,"06/08～
06/09",6,5,54,59
港区,三田２丁目,-,"2-chome-1-8 Mita, Minato City, Tokyo 108-0073, Japan",35.652104,139.737963,第24回アジア･太平洋薬物取締会議,三田共用会議所,"02/26～
02/28",35,94,64,158
港区,三田２丁目,-,"2-chome-1-8 Mita, Minato City, Tokyo 108-0073, Japan",35.652104,139.737963,総務省MRA国際ワークショップ2019,三田共用会議所,"03/06～
03/07",11,36,192,228
港区,高輪３丁目,-,"3-chome-13-1 Takanawa, Minato City, Tokyo 108-8612, Japan",35.630053,139.73349,第1回TPP委員会,グランドプリンスホテル新高輪,"01/19～
01/19",11,50,40,90
港区,高輪３丁目,-,"3-chome-13-1 Takanawa, Minato City, Tokyo 108-8612, Japan",35.630053,139.73349,第1回G20開発作業部会会合、G20開発作業部会サイドイベント ｢2030アジェンダ達成に向けた効果的な三角協力｣,グランドプリンスホテル新高輪,"01/21～
01/23",27,89,46,135
港区,高輪３丁目,-,"3-chome-13-1 Takanawa, Minato City, Tokyo 108-8612, Japan",35.630053,139.73349,第74回日本消化器外科学会総会,グランドプリンスホテル新高輪,"07/17～
07/19",10,51,7085,7136
港区,高輪３丁目,-,"3-chome-13-1 Takanawa, Minato City, Tokyo 108-8612, Japan",35.630053,139.73349,国際不動産カンファレンス2019,グランドプリンスホテル新高輪,"09/02～
09/04",16,233,327,560
港区,高輪３丁目,-,"3-chome-13-1 Takanawa, Minato City, Tokyo 108-8612, Japan",35.630053,139.73349,LNG産消会議2019,グランドプリンスホテル新高輪,"09/26～
09/26",32,422,735,1157
港区,芝公園３丁目,虎ノ門,"3-chome-3-1 Shibakōen, Minato City, Tokyo 105-8560, Japan",35.658962,139.748139,第1回G20エネルギー転換WG、第1回エネルギー転換作業部会ならびに環境高級実務者会合,東京プリンスホテル,"02/12～
02/13",26,200,200,400
港区,高輪４丁目,-,"4-chome-10-30 Takanawa, Minato City, Tokyo 108-8611, Japan",35.627844,139.735334,14 Plenary Assembly of the International Federation of Sport Climbing -IFSC-,品川プリンスホテル,"03/14～
03/16",45,114,6,120
港区,高輪４丁目,-,"4-chome-10-30 Takanawa, Minato City, Tokyo 108-8611, Japan",35.627844,139.735334,直訳:保険フォーラムジャパン2019,品川プリンスホテル,"06/05～
06/05",21,80,162,242
港区,高輪４丁目,-,"4-chome-10-30 Takanawa, Minato City, Tokyo 108-8611, Japan",35.627844,139.735334,Meetings of INTOSAI Capacity Building Committee & INTOSAI Donor Cooperation Steering Committee,品川プリンスホテル,"07/01～
07/04",37,101,2,103
港区,高輪４丁目,-,"4-chome-10-30 Takanawa, Minato City, Tokyo 108-8611, Japan",35.627844,139.735334,北太平洋漁業委員会(NPFC)第5回年次会合,品川プリンスホテル,"07/16～
07/18",8,88,50,138
港区,港南４丁目,-,"4-chome-5-7 Kōnan, Minato City, Tokyo 108-8477, Japan",35.627003,139.748334,2019年度日本冷凍空調学会年次大会,東京海洋大学,"09/11～
09/13",4,60,540,600
港区,白金５丁目,-,"5-chome-9-1 Shirokane, Minato City, Tokyo 108-8641, Japan",35.644777,139.72563,国際水圏メタゲノムシンポジウム-水圏メタゲノミクスの展開と水圏生物多様性の展望-,北里大学,"11/23～
11/24",9,9,113,122
港区,六本木７丁目,六本木,"7-chome-22-34 Roppongi, Minato City, Tokyo 106-0032, Japan",35.665376,139.725168,サイエンス20（会議）,日本学術会議,"03/06～
03/06",22,32,68,100
港区,六本木７丁目,六本木,"7-chome-22-34 Roppongi, Minato City, Tokyo 106-0032, Japan",35.665376,139.725168,第9回構造物の安全性･信頼性に関する国内シンポジウム JCOSSAR 2019,日本学術会議,"10/23～
10/25",3,2,198,200
港区,六本木７丁目,六本木,"7-chome-22-34 Roppongi, Minato City, Tokyo 106-0032, Japan",35.665376,139.725168,"国際シンポジウム｢気候変動と農業ビジネス
-技術を農業者に届けるために企業と研究者ができること-｣",日本学術会議,"11/05～
11/05",14,20,169,189
港区,虎ノ門１丁目,虎ノ門,"Japan, 〒105-6305 Tokyo, Minato City, Toranomon, 1-chome-23-3 虎ﾉ門ﾋﾙｽﾞ森ﾀﾜｰ 5階",35.666878,139.749503,第40回日本エンドメトリオーシス学会学術講演会,虎ノ門ヒルズフォーラム,"01/19～
01/20",5,9,596,605
港区,虎ノ門１丁目,虎ノ門,"Japan, 〒105-6305 Tokyo, Minato City, Toranomon, 1-chome-23-3 虎ﾉ門ﾋﾙｽﾞ森ﾀﾜｰ 5階",35.666878,139.749503,直訳:日本オープンソースサミット 2019,虎ノ門ヒルズフォーラム,"07/17～
07/19",40,390,610,1000
港区,南麻布４丁目,-,"Japan, 〒106-0047 Tokyo, Minato City, Minamiazabu, 4-chome-6-28 ﾖｰﾛｯﾊﾟﾊｳｽ",35.64994,139.726924,第4回 日本とEU都市間交流会合,駐日欧州連合代表部,"05/17～
05/17",9,30,44,74
港区,南麻布４丁目,-,"Japan, 〒106-0047 Tokyo, Minato City, Minamiazabu, 4-chome-6-28 ﾖｰﾛｯﾊﾟﾊｳｽ",35.64994,139.726924,EU日本サステナブル･ファイナンス政策セ ミナー EUサステナブル･ファイナンス･アクションプランをめぐる日本の民間セクター との対話,駐日欧州連合代表部,"10/11～
10/11",5,17,126,143
港区,赤坂１丁目,虎ノ門,"Japan, 〒107-0052 Tokyo, Minato City, Akasaka, 1-chome-8-1 赤坂ｲﾝﾀｰｼﾃｨAIR 3F･4F",35.670082,139.742543,第4回 JST-NSF-DATAIA 国際連携シンポジウム｢AI 研究の最前線～超スマート社会実現に向けて～｣,赤坂インターシティコンファレンス,"12/19～
12/19",3,6,212,218
港区,赤坂４丁目,赤坂,"Japan, 〒107-0052 Tokyo, Minato City, Akasaka, 4-chome-18-13 赤坂ｺﾐｭﾆﾃｨｰぷらざ内",35.674806,139.731567,令和元年度外国人の受入れと社会統合のための国際フォーラム,赤坂区民センター,"10/31～
10/31",3,2,192,194
港区,高輪３丁目,-,"SHINAGAWA GOOS, 1F, 3-chome-13-3 Takanawa, Minato City, Tokyo 108-0074, Japan",35.629851,139.735905,第26回アジア輸出管理セミナー,TKPガーデンシティ品川,"02/26～
02/28",32,101,45,146
港区,虎ノ門１丁目,虎ノ門,"The Sasakawa Peace Foundation Building, 1-chome-15-16 Toranomon, Minato City, Tokyo 105-0001, Japan",35.669369,139.749157,宇宙空間の安定的利用の確保に関する国際シンポジウム,笹川平和財団ビル,"02/28～
03/01",3,50,300,350
江東区,青海２丁目,-,"2-chome-2 Aomi, Koto City, Tokyo 135-0064, Japan",35.619956,139.775918,第29回国際地図学会議,日本科学未来館、東京国際交流館,"07/15～
07/20",69,756,261,1017
江東区,青海２丁目,-,"2-chome-3-6 Aomi, Koto City, Tokyo 135-0064, Japan",35.619336,139.776399,グリーンビルディングジャパン シンポジウム2019,日本科学未来館,"09/13～
09/13",4,14,285,299
江東区,青海２丁目,-,"2-chome-3-6 Aomi, Koto City, Tokyo 135-0064, Japan",35.619336,139.776399,World Congress of Science & Factual Producers 2019,日本科学未来館,"12/02～
12/05",30,650,50,700
江東区,有明３丁目,-,"3-chome-11-1 Ariake, Koto City, Tokyo 135-0063, Japan",35.629818,139.794287,nano tech 2019 第18回 国際ナノテクノロジー総合展･技術会議（会議、セミナー）,東京ビッグサイト,"01/30～
02/01",20,65,1670,1735
江東区,有明３丁目,-,"3-chome-11-1 Ariake, Koto City, Tokyo 135-0063, Japan",35.629818,139.794287,第17回ナノテクノロジー総合シンポジウム,東京ビッグサイト,"02/01～
02/01",6,16,395,411
江東区,有明３丁目,-,"3-chome-11-1 Ariake, Koto City, Tokyo 135-0063, Japan",35.629818,139.794287,"ASIS東京セキュリティカンファレンス
2019",東京ビッグサイト,"03/04～
03/06",12,42,123,165
江東区,有明３丁目,-,"3-chome-11-1 Ariake, Koto City, Tokyo 135-0063, Japan",35.629818,139.794287,"UFIアジアパシフィックコンファレンス
2019",東京ビッグサイト,"03/14～
03/15",22,220,97,317
江東区,有明３丁目,-,"3-chome-4-10 Ariake, Koto City, Tokyo 135-0063, Japan",35.630298,139.789581,第5回 インターナショナルロボットハイスクール2019 (IRH2019)（講演）,東京ビッグサイト、TFTビル,"12/21～
12/22",3,33,23,56
江東区,有明３丁目,-,"3-chome-5-7 Ariake, 江東区 Koto City, Tokyo 135-0063, Japan",35.632344,139.788521,DIAアジア2019国際会議,TOC有明コンベンションホール,"04/18～
04/19",7,46,114,160
江東区,有明３丁目,-,"3-chome-7-18 Ariake, Koto City, Tokyo 135-0063, Japan",35.632149,139.79355,G20気候持続可能性作業部会2019年第1回会合,東京コンファレンスセンター･有明,"02/14～
02/16",27,102,85,187
江東区,青海２丁目,-,"Tokyo Academic Park, 2-chome-2-1 Aomi, Koto City, Tokyo 135-0064, Japan",35.620762,139.775883,第17回｢気候変動に対する更なる行動｣に関する非公式会合(日伯非公式会合),東京国際交流館,"03/14～
03/15",30,59,25,84
江東区,青海２丁目,-,"Tokyo Academic Park, 2-chome-2-1 Aomi, Koto City, Tokyo 135-0064, Japan",35.620762,139.775883,EMBOシングルセルバイオロジーワークショップ,東京国際交流館,"05/20～
05/22",25,142,198,340
江東区,青海２丁目,-,"Tokyo Academic Park, 2-chome-2-1 Aomi, Koto City, Tokyo 135-0064, Japan",35.620762,139.775883,ScalaMatsuri 2019（講演）,東京国際交流館,"06/27～
06/29",7,110,610,720
江東区,青海２丁目,-,"Tokyo Academic Park, 2-chome-2-1 Aomi, Koto City, Tokyo 135-0064, Japan",35.620762,139.775883,SIP-adus Workshop 2019,東京国際交流館,"11/12～
11/14",23,89,511,600
