指標名,食べログアワード受賞レストラン,,,,,,,,,,,,,
出典,The Tabelog Award 2021,,,,,,,,,,,,,
年次,2021年,,,,,,,,,,,,,
URL,https://award.tabelog.com/restaurants,,,,,,,,,,,,,
備考,（2020年：275件、2021年度：208件）,,,,,,,,,,,,,
,,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,施設名（EN）,ジャンル,アワード,初選出,星数,夜予算,昼予算,URL
品川区,北品川６丁目,-,東京都品川区北品川6-7-29 ガーデンシティ品川 御殿山 1F,33.58921,130.40555,カンテサンス, Quintessence, フレンチ / 東京,GOLD,-,3.88,"\10,000～\14,999",-,https://tabelog.com/tokyo/A1314/A131405/13159567/
品川区,南大井３丁目,-,東京都品川区南大井3-11-5 MAKIMURA BLD 1F,35.59074,139.73539,まき村, Makimura, 日本料理 / 東京,SILVER,-,4.37,"\15,000～\19,999",-,https://tabelog.com/tokyo/A1315/A131502/13003338/
品川区,上大崎２丁目,-,東京都品川区上大崎2-14-12,35.63426,139.71691,鳥しき, Torishiki, 焼鳥・鳥料理 / 東京,GOLD,-,4.47,"\6,000～\7,999","\8,000～\9,999",https://tabelog.com/tokyo/A1316/A131601/13041029/
中央区,湊３丁目,-,東京都中央区湊3-13-15,35.66994,139.77970,味ひろ, Ajihiro, 日本料理 / 東京,BRONZE,-,4.22,"\30,000～\39,999",-,https://tabelog.com/tokyo/A1313/A131301/13200027/
中央区,日本橋人形町２丁目,-,東京都中央区日本橋人形町2-22-11 井上ビル 1F,35.68624,139.78451,日本橋 蕎ノ字, Sonoji, 天ぷら / 東京,BRONZE,-,4.08,"\10,000～\14,999","\10,000～\14,999",https://tabelog.com/tokyo/A1302/A130204/13201969/
中央区,日本橋人形町１丁目,-,東京都中央区日本橋人形町1-5-5 B1F,35.68537,139.78167,川田, Kawada, 日本料理 / 東京,BRONZE,-,4.2,"\20,000～\29,999",-,https://tabelog.com/tokyo/A1302/A130204/13232330/
中央区,日本橋小舟町,-,東京都中央区日本橋小舟町11-11 Kビル 1F,35.68719,139.77858,おにく 花柳, Oniku Karyu, 焼肉・すき焼き・しゃぶしゃぶ / 東京,BRONZE,-,4.21,"\20,000～\29,999",-,https://tabelog.com/tokyo/A1302/A130204/13028856/
中央区,日本橋室町２丁目,日八京,東京都中央区日本橋室町2-3-1 コレド室町2  1F,34.69843,135.49248,ラ・ボンヌターブル, LA BONNE TABLE, フレンチ / 東京,BRONZE,-,3.87,"\20,000～\29,999","\10,000～\14,999",https://tabelog.com/tokyo/A1302/A130202/13166325/
中央区,日本橋室町２丁目,日八京,東京都中央区日本橋室町2-1-1 三井2号館,35.68689,139.77250,aca 1ｰ, aca, スペイン料理 / 東京,SILVER,-,4.52,"\20,000～\29,999","\20,000～\29,999",https://tabelog.com/tokyo/A1302/A130202/13249117/
中央区,日本橋室町２丁目,日八京,東京都中央区日本橋室町2-1-1 マンダリン オリエンタル 東京 37F,35.68684,139.77326,広東料理 センス, SENSE, 中華料理 / 東京,BRONZE,-,4.02,"\15,000～\19,999","\8,000～\9,999",https://tabelog.com/tokyo/A1302/A130202/13020361/
中央区,日本橋室町１丁目,日八京,東京都中央区日本橋室町1-9-4 井上第3ビル B1F,35.68509,139.77557,ラ ペ, La Paix, フレンチ / 東京,BRONZE,-,4.01,"\15,000～\19,999","\8,000～\9,999",https://tabelog.com/tokyo/A1302/A130202/13173559/
中央区,日本橋兜町,-,東京都中央区日本橋兜町1-4 M-SQUAREビル 1F,35.68274,139.77936,ASAHINA Gastronome, ASAHINA Gastronome, フレンチ / 東京,BRONZE,-,4.09,"\30,000～\39,999","\15,000～\19,999",https://tabelog.com/tokyo/A1302/A130203/13227385/
中央区,日本橋蛎殻町１丁目,-,東京都中央区日本橋蛎殻町1-33-6 ビューハイツ日本橋 B1F,35.68187,139.78496,日本橋蛎殻町 すぎた, Sugita, 寿司 / 東京,GOLD,-,4.68,"\20,000～\29,999","\20,000～\29,999",https://tabelog.com/tokyo/A1302/A130204/13018162/
中央区,日本橋蛎殻町１丁目,-,東京都中央区日本橋蛎殻町1-30-2,35.68276,139.78399,高柿の鮨, Takagakinosushi, 寿司 / 東京,BRONZE,-,3.95,"\20,000～\29,999","\10,000～\14,999",https://tabelog.com/tokyo/A1302/A130204/13231297/
中央区,日本橋３丁目,日八京,東京都中央区日本橋3-8-13 華蓮日本橋ビル 1F,35.68005,139.77337,ウェスタ, Vesta, ステーキ・鉄板焼き / 東京,BRONZE,-,4.39,"\60,000～\79,999","\60,000～\79,999",https://tabelog.com/tokyo/A1302/A130202/13185496/
中央区,築地６丁目,-,東京都中央区築地６丁目６?６,35.66529,139.77338,六寛, Rokkan, 日本料理 / 東京,BRONZE,-,4.09,"\30,000～\39,999",-,https://tabelog.com/tokyo/A1313/A131301/13178685/
中央区,築地１丁目,-,東京都中央区築地1-5-8 樋泉ビル 1F,35.66986,139.77157,東京チャイニーズ 一凛, Tokyo Chinese Ichirin, 中華料理 / 東京,BRONZE,-,3.96,"\8,000～\9,999","\1,000～\1,999",https://tabelog.com/tokyo/A1313/A131301/13153417/
中央区,新富１丁目,-,東京都中央区新富1-8-2 grandir ginza east 1F,35.67292,139.77447,鮨 はしもと, Hashimoto, 寿司 / 東京,SILVER,-,4.31,"\20,000～\29,999",-,https://tabelog.com/tokyo/A1313/A131301/13238306/
中央区,月島２丁目,-,"東京都中央区月島2-14-8 AMビル1,2F",35.66233,139.78295,在市 月島本店, Zaichi, 焼肉・すき焼き・しゃぶしゃぶ / 東京,BRONZE,-,3.98,"\4,000～\4,999",-,https://tabelog.com/tokyo/A1313/A131302/13095398/
中央区,銀座８丁目,-,東京都中央区銀座8-7-8 GINZA8ビル 3F,35.66826,139.76102,中華たかせ, CYUKA TAKASE, 中華料理 / 東京,BRONZE,-,4.08,"\30,000～\39,999",-,https://tabelog.com/tokyo/A1301/A130101/13199649/
中央区,銀座８丁目,-,東京都中央区銀座8-2-8 銀座高本ビル 2F,35.66971,139.75960,トロワフレーシュ, TROIS FLﾈCHES, ステーキ・鉄板焼き / 東京,BRONZE,-,4.15,"\30,000～\39,999",-,https://tabelog.com/tokyo/A1301/A130103/13130978/
中央区,銀座８丁目,-,東京都中央区銀座8-2-10 銀座誠和シルバービル B1F,35.66940,139.75952,鮨 とかみ, Tokami, 寿司 / 東京,BRONZE,-,4.16,"\20,000～\29,999",-,https://tabelog.com/tokyo/A1301/A130103/13155234/
中央区,銀座６丁目,-,東京都中央区銀座8-10-3 三鈴ビル　Ｂ１Ｆ,35.67093,139.76193,銀座 鮨 かねさか 本店, Ginza Sushi KANESAKA Honten, 寿司 / 東京,BRONZE,-,4.17,"\40,000～\49,999","\30,000～\39,999",https://tabelog.com/tokyo/A1301/A130103/13005003/
中央区,銀座８丁目,-,東京都中央区銀座8-10-2 ルアンビル B1F,35.66805,139.76269,鮨 あらい, Arai, 寿司 / 東京,GOLD,-,4.51,"\30,000～\39,999","\15,000～\19,999",https://tabelog.com/tokyo/A1301/A130101/13188186/
中央区,日本橋人形町１丁目,-,東京都中央区銀座７丁目３?１６ 東五ビル,35.68537,139.78167,かわむら, Kawamura, ステーキ・鉄板焼き / 東京,BRONZE,-,4.2,"\20,000～\29,999",-,https://tabelog.com/tokyo/A1301/A130101/13016506/
中央区,銀座７丁目,-,東京都中央区銀座7-8-15 第2新橋会館 7F,35.66908,139.76221,神戸牛炉釜炭焼ステーキ IDEA 銀座, IDEA Ginza, ステーキ・鉄板焼き / 東京,BRONZE,-,4.1,"\20,000～\29,999",-,https://tabelog.com/tokyo/A1301/A130101/13161192/
中央区,銀座７丁目,-,東京都中央区銀座7-7-7 GINZA777 ADC BUILDING 6F,35.66928,139.76207,USHIGORO S. GINZA, USHIGORO S. GINZA, 焼肉・すき焼き・しゃぶしゃぶ / 東京,BRONZE,-,4.32,"\20,000～\29,999","\10,000～\14,999",https://tabelog.com/tokyo/A1301/A130101/13222093/
中央区,銀座７丁目,-,東京都中央区銀座7-5-5,35.66996,139.76140,ロオジエ, L'OSIER, フレンチ / 東京,GOLD,-,4.41,"\20,000～\29,999","\15,000～\19,999",https://tabelog.com/tokyo/A1301/A130101/13002607/
中央区,銀座７丁目,-,東京都中央区銀座7-4-5 銀座745ビル 3F,35.67013,139.76110,銀座 きた福, Ginza Kitafuku, 日本料理 / 東京,BRONZE,-,4.04,"\30,000～\39,999","\30,000～\39,999",https://tabelog.com/tokyo/A1301/A130101/13183900/
中央区,銀座７丁目,-,東京都中央区銀座7-4-5 GINZA745ビル 9F,35.67013,139.76110,レンゲ, Renge, 中華料理 / 東京,BRONZE,-,4.04,"\20,000～\29,999","\10,000～\14,999",https://tabelog.com/tokyo/A1301/A130101/13183555/
中央区,銀座７丁目,-,東京都中央区銀座7-3-13 銀座第四金井ビル B1F,35.67027,139.76022,鮨 竜介, Ryusuke, 寿司 / 東京,BRONZE,-,4.13,"\30,000～\39,999","\10,000～\14,999",https://tabelog.com/tokyo/A1301/A130101/13185503/
中央区,銀座６丁目,-,東京都中央区銀座6-8-7 交詢ビル　4Ｆ,43.05775,141.33090,スリオラ, ZURRIOLA, スペイン料理 / 東京,BRONZE,-,4.11,"\20,000～\29,999",-,https://tabelog.com/tokyo/A1301/A130101/13125046/
中央区,銀座６丁目,-,東京都中央区銀座6-7-6 ラペビル3階,35.67051,139.76274,はっこく, Hakkoku, 寿司 / 東京,BRONZE,-,4.12,-,"\10,000～\14,999",https://tabelog.com/tokyo/A1301/A130101/13217157/
中央区,銀座６丁目,-,東京都中央区銀座6-5-15 銀座能楽堂ビル  5F,35.67109,139.76206,鮨 鈴木, Suzuki, 寿司 / 東京,BRONZE,-,4.13,"\40,000～\49,999","\15,000～\19,999",https://tabelog.com/tokyo/A1301/A130101/13184367/
中央区,銀座６丁目,-,東京都中央区銀座6-5-13 銀座美術館ビル  3F,35.67093,139.76193,GINZA JOTAKI, JOTAKI, 中華料理 / 東京,BRONZE,-,4.17,"\40,000～\49,999","\30,000～\39,999",https://tabelog.com/tokyo/A1301/A130101/13217960/
中央区,銀座６丁目,-,東京都中央区銀座6-4-3 GICROS GINZA GEMS 9F,35.67161,139.76197,肉屋 田中, Nikuya Tanaka, 日本料理 / 東京,SILVER, BEST NEW ENTRY,3.41,"\30,000～\39,999",-,https://tabelog.com/tokyo/A1301/A130101/13237628/
中央区,銀座６丁目,-,東京都中央区銀座6-3-18 La.La.Grande GINZA 2F,35.67175,139.76129,鮨 さえ?, Saeki, 寿司 / 東京,BRONZE,-,4.16,"\40,000～\49,999",-,https://tabelog.com/tokyo/A1301/A130101/13239506/
中央区,銀座６丁目,-,東京都中央区銀座6-3-15,35.67143,139.76096,きよ田, Kiyota, 寿司 / 東京,BRONZE,-,4.39,"\50,000～\59,999","\20,000～\29,999",https://tabelog.com/tokyo/A1301/A130101/13070238/
中央区,銀座６丁目,-,東京都中央区銀座6-16-11 銀座山本ビル B１F,35.66784,139.76549,ル・ジャルダン・デ・サヴール, Le jardin des saveurs, フレンチ / 東京,BRONZE,-,3.97,"\10,000～\14,999","\6,000～\7,999",https://tabelog.com/tokyo/A1301/A130101/13002341/
中央区,銀座５丁目,-,東京都中央区銀座５丁目１４?15-1F サンリット銀座ビル,35.66869,139.76693,井雪, Iyuki, 日本料理 / 東京,SILVER,-,4.55,"\40,000～\49,999","\50,000～\59,999",https://tabelog.com/tokyo/A1301/A130101/13030881/
中央区,銀座５丁目,-,東京都中央区銀座5-9-19 ＭＣビル3Ｆ,35.67045,139.76529,さわ田, Sawada, 寿司 / 東京,GOLD,-,4.52,"\40,000～\49,999","\30,000～\39,999",https://tabelog.com/tokyo/A1301/A130101/13001043/
中央区,銀座５丁目,-,東京都中央区銀座5-6-10 都ビル 4F,35.67073,139.76357,喰善 あべ, Shokuzen Abe, 日本料理 / 東京,BRONZE,-,4.15,"\20,000～\29,999",-,https://tabelog.com/tokyo/A1301/A130101/13162190/
中央区,銀座７丁目,-,東京都中央区銀座5-4-8 カリオカビル 4F,35.67013,139.76110,銀座 小十, Kojyu, 日本料理 / 東京,BRONZE,-,4.04,"\30,000～\39,999","\30,000～\39,999",https://tabelog.com/tokyo/A1301/A130101/13005683/
中央区,銀座５丁目,-,東京都中央区銀座5-4-6 ロイヤルクリスタル銀座 9Ｆ,35.67171,139.76330,エスキス, ESqUISSE, フレンチ / 東京,SILVER,-,4.33,"\20,000～\29,999","\15,000～\19,999",https://tabelog.com/tokyo/A1301/A130101/13142530/
中央区,銀座５丁目,-,東京都中央区銀座5-11-13 幸田ビル 3Ｆ,35.66959,139.76560,ふぐ 福治, FUKUJI, 魚介料理・海鮮料理 / 東京,BRONZE,-,4.13,"\30,000～\39,999",-,https://tabelog.com/tokyo/A1301/A130101/13004009/
中央区,銀座４丁目,-,東京都中央区銀座4-5-5 ミキモトビル Ｂ１Ｆ,35.67187,139.76541,銀座 レカン, L'馗rin, フレンチ / 東京,BRONZE,-,3.97,"\20,000～\29,999","\10,000～\14,999",https://tabelog.com/tokyo/A1301/A130101/13002444/
中央区,銀座４丁目,-,東京都中央区銀座4-2-15 塚本ビル　Ｂ１Ｆ,35.67258,139.76408,すきやばし 次郎, Sukiyabashi Jiro, 寿司 / 東京,BRONZE,-,4.11,"\40,000～\49,999","\40,000～\49,999",https://tabelog.com/tokyo/A1301/A130101/13002260/
中央区,銀座３丁目,-,東京都中央区銀座3-3-6 銀座モリタビル 7F,35.67312,139.76552,銀座ふじやま, FUJIYAMA, 日本料理 / 東京,BRONZE,-,4.24,"\40,000～\49,999","\40,000～\49,999",https://tabelog.com/tokyo/A1301/A130101/13232735/
中央区,銀座２丁目,-,東京都中央区銀座2-8-17 ハビウル銀座2 B1,35.67297,139.76787,銀座 しのはら, Shinohara, 日本料理 / 東京,GOLD,-,4.59,"\30,000～\39,999",-,https://tabelog.com/tokyo/A1301/A130101/13200949/
中央区,銀座２丁目,-,東京都中央区銀座2-10-11 マロニエ通り銀座館 2F,35.67999,135.10026,銀座 大石, Oishi, フレンチ / 東京,SILVER, BEST NEW ENTRY,4.26,"\15,000～\19,999","\8,000～\9,999",https://tabelog.com/tokyo/A1301/A130101/13238352/
中央区,銀座１丁目,-,東京都中央区銀座1-8-7 VORT銀座 B1F,35.67406,139.76860,神戸牛炉釜ステーキ GINZA KOKO炉, KOKORO, ステーキ・鉄板焼き / 東京,BRONZE,-,4.19,"\20,000～\29,999",-,https://tabelog.com/tokyo/A1301/A130101/13224979/
中央区,銀座１丁目,-,東京都中央区銀座1-5-14 銀座コシミオンビル 1階,35.67487,139.76702,すし家 一柳, Ichiyanagi, 寿司 / 東京,BRONZE,-,3.91,"\20,000～\29,999","\15,000～\19,999",https://tabelog.com/tokyo/A1301/A130101/13156961/
中央区,銀座１丁目,-,東京都中央区銀座1-22-12 マドリガル銀座 1F,35.67193,139.77075,CHIUnE, CHIUnE, イノベーティブ・フュージョン / 東京,GOLD,-,4.59,"\50,000～\59,999",-,https://tabelog.com/tokyo/A1301/A130101/13203796/
中央区,銀座１丁目,-,東京都中央区銀座1-21-14,35.67255,139.77076,フルタ, Furuta, 中華料理 / 東京,SILVER,-,4.55,"\30,000～\39,999",-,https://tabelog.com/tokyo/A1313/A131301/13176780/
中央区,銀座１丁目,-,東京都中央区銀座1-14-14 森川ビル 1F,35.67324,139.76959,鮨 たかはし, Takahashi, 寿司 / 東京,BRONZE,-,4.11,"\20,000～\29,999",-,https://tabelog.com/tokyo/A1301/A130101/13165933/
中央区,京橋３丁目,日八京,東京都中央区京橋3-6-17 京橋大栄ビル　１Ｆ,35.67514,139.76989,イデミスギノ, HIDEMI SUGINO, スイーツ / 東京,BRONZE,-,4.01,"\1,000～\1,999","\1,000～\1,999",https://tabelog.com/tokyo/A1302/A130202/13002285/
中央区,京橋２丁目,日八京,東京都中央区京橋2-5-2 A・M京橋ビル 1F,35.67647,139.77050,てんぷら 深町, Fukamachi, 天ぷら / 東京,BRONZE,-,4.23,"\20,000～\29,999","\10,000～\14,999",https://tabelog.com/tokyo/A1302/A130202/13004105/
中央区,京橋２丁目,日八京,東京都中央区京橋2-4-16 明治京橋ビル1F,35.67690,139.76871,シェ・イノ, Chez Inno, フレンチ / 東京,BRONZE,-,4.18,"\20,000～\29,999","\8,000～\9,999",https://tabelog.com/tokyo/A1302/A130202/13000510/
中央区,築地１丁目,-,東京都新宿区大久保1-12-3 カーサ第二新宿 1F,35.66986,139.77157,東京肉しゃぶ家, Nikusyhabuya, 焼肉・すき焼き・しゃぶしゃぶ / 東京,BRONZE,-,3.96,"\8,000～\9,999","\1,000～\1,999",https://tabelog.com/tokyo/A1304/A130401/13196268/
中央区,銀座７丁目,-,東京都港区西麻布2-24-14 バルビゾン73 B1F,35.66928,139.76207,USHIGORO S. NISHIAZABU, USHIGORO S. NISHIAZABU, 焼肉・すき焼き・しゃぶしゃぶ / 東京,BRONZE,-,4.32,"\20,000～\29,999","\10,000～\14,999",https://tabelog.com/tokyo/A1307/A130701/13209611/
千代田区,六番町,-,東京都千代田区六番町4-3 GEMS市ヶ谷  9F,35.68915,139.73523,炭火焼肉 なかはら, NAKAHARA, 焼肉・すき焼き・しゃぶしゃぶ / 東京,BRONZE,-,4.1,"\15,000～\19,999",-,https://tabelog.com/tokyo/A1309/A130904/13175110/
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町1-9-4 蚕糸会館　Ｂ１Ｆ,35.67501,139.76092,アピシウス, APICIUS, フレンチ / 東京,BRONZE,-,4.15,"\30,000～\39,999","\10,000～\14,999",https://tabelog.com/tokyo/A1301/A130102/13000145/
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町1-1-2 東京ミッドタウン日比谷 3F,35.67358,139.75919,鮨 なんば 日比谷, Namba Hibiya, 寿司 / 東京,GOLD,-,4.54,"\30,000～\39,999","\30,000～\39,999",https://tabelog.com/tokyo/A1301/A130102/13219857/
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町1-1-2 ミッドタウン日比谷 7F,35.67417,139.75907,龍吟, Ryugin, 日本料理 / 東京,BRONZE,-,3.91,"\50,000～\59,999",-,https://tabelog.com/tokyo/A1301/A130102/13001457/
千代田区,内幸町１丁目,-,東京都千代田区内幸町1-1-1 帝国ホテル東京 本館 中2F,35.67260,139.75816,レ セゾン, Les Saisons, フレンチ / 東京,SILVER,-,4.15,"\40,000～\49,999","\10,000～\14,999",https://tabelog.com/tokyo/A1301/A130102/13002294/
千代田区,紀尾井町,赤坂,東京都千代田区紀尾井町4-1 ホテルニューオータニ 東京 ロビィ階,35.68092,139.73419,トゥールダルジャン 東京, TOUR D'ARGENT TOKYO, フレンチ / 東京,BRONZE,-,4.11,"\40,000～\49,999",-,https://tabelog.com/tokyo/A1308/A130803/13000288/
千代田区,紀尾井町,赤坂,東京都千代田区紀尾井町1-2 紀尾井テラス 3F,35.68026,139.73775,紀尾井町 三谷, Kioicho Mitani, 寿司 / 東京,BRONZE,-,4.16,"\30,000～\39,999","\30,000～\39,999",https://tabelog.com/tokyo/A1308/A130801/13198197/
